stage1_regularization_factor,stage1_regularization_value,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
dropout,0.7,3,s1_051,main_effect_dropout-0p7_lr0.001_wd0.005_do0.7_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5648148148148148,0.5525769470056723,0.4827237683012304,0.4732964094728801,0.5391975308641975,0.5648148148148148,0.525,0.5287853667597914,0.5525769470056723,0.5121011197414481,0.46476750531939653,0.4732964094728801,0.4509080672696234,0.07424601257727365,0.09714503108482636,0.05946866934567191,0.4793895218217985,0.48221163755767266,0.4763815615721228,0.6274857866254892,0.6503230095339609,0.6098926680714063
label_smoothing,0.05,3,s1_052,main_effect_label_smoothing-0p05_lr0.001_wd0.005_do0.5_ls0.05_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5638888888888889,0.5494666580982371,0.5225626406576868,0.48802981813508123,0.546604938271605,0.5638888888888889,0.5277777777777779,0.5349347294644105,0.5494666580982371,0.5181993059462436,0.47919682419453585,0.48802981813508123,0.4747012987012987,0.05022165290430009,0.07469358990645622,0.03328829261527324,0.48085910695263356,0.48966802545597077,0.47496495775028025,1.2104744850083728,1.220683310841105,1.194519073201286
combined_regularization,wd0.01_do0.6_ls0.3_mw0.9,3,s1_078,focused_combo_combined_regularization-wd0p01_do0p6_ls0p3_mw0p9_lr0.001_wd0.01_do0.6_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.562962962962963,0.5449206514907148,0.4783356897969696,0.49014992025518345,0.5506172839506173,0.562962962962963,0.538888888888889,0.5343333535059653,0.5449206514907148,0.521789283031173,0.4793360571317227,0.49014992025518345,0.4674273095325726,0.07880394811977601,0.09191884504319058,0.0681672678492814,0.4707535620122065,0.47486063304059545,0.4668674416549215,0.4642298075804339,0.4739984208198808,0.45095963352107277
sqi_mode,top70_quality,3,s1_101,main_effect_sqi_mode-top70_quality_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop70_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5601851851851851,0.5505676375343894,0.4667105999785043,0.5185979783217635,0.5444444444444444,0.5601851851851851,0.5249999999999999,0.5354634080134596,0.5505676375343894,0.5185358490987781,0.5016671560144437,0.5185979783217635,0.48729603729603727,0.09967472949766615,0.13380350486796674,0.07529377762634534,0.47926422702953947,0.48619738893256603,0.4755405548703247,0.6437819481439678,0.6642660619800618,0.6313177900878395
combined_regularization,wd0.005_do0.6_ls0.3_mw0.9,3,s1_070,focused_combo_combined_regularization-wd0p005_do0p6_ls0p3_mw0p9_lr0.001_wd0.005_do0.6_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5592592592592592,0.5421113288530168,0.4978387008676158,0.45533333333333337,0.545679012345679,0.5592592592592592,0.5361111111111111,0.5323573081503713,0.5421113288530168,0.5245114334771085,0.4716001191790666,0.4934952766531714,0.45533333333333337,0.07043933553272697,0.08223296142746117,0.04947425928663904,0.468701360487747,0.47160217249047054,0.4653953425542796,0.4639288166222957,0.4668943072171631,0.459641238060542
max_windows_fraction,0.5,3,s1_100,main_effect_max_windows_fraction-0p5_lr0.001_wd0.005_do0.5_ls0.2_mw50_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5583333333333333,0.5348670330531953,0.5152077576130356,0.4428370391218689,0.5370370370370371,0.5583333333333333,0.5148148148148148,0.5199627021215839,0.5348670330531953,0.4987247828424298,0.47532033602567997,0.5221155655938265,0.4428370391218689,0.03443870470485895,0.04421235698634561,0.024366106235075517,0.4713350638152807,0.48461732211836994,0.4597267933431152,0.6365371133859241,0.657029029607372,0.6080072796740795
loss_type,balanced_softmax,3,s1_022,main_effect_loss_type-balanced_softmax_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossbalanced_softmax_cwinverse_subject_count_ep9,0.5583333333333333,0.5430028383495876,0.4767873459038857,0.4733155080213904,0.546604938271605,0.5583333333333333,0.5259259259259259,0.5328838329343556,0.5444877872559929,0.5111608731974864,0.4754996535747646,0.4976304397357028,0.4555530129672006,0.06219266364021692,0.088485291299775,0.032407407407407406,0.47663761155673096,0.4853153065313981,0.46967749267696934,0.645948875285281,0.6573223622410406,0.6307664375816329
baseline,wd0p005_do0p5_ls0p2,3,s1_043,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5574074074074074,0.5469441359389761,0.48362389729245414,0.48258212375859444,0.5253086419753087,0.5574074074074074,0.4888888888888888,0.5174340539573785,0.5469441359389761,0.48057234411772926,0.45829553396305317,0.48732279314888016,0.40498168498168496,0.06107128975202416,0.06933633560293082,0.05444491685358161,0.47918692300296106,0.48722357410726264,0.4721298267563664,0.6513310415002881,0.6559206255430932,0.6462342003858187
label_smoothing,0.1,3,s1_053,main_effect_label_smoothing-0p1_lr0.001_wd0.005_do0.5_ls0.1_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5564814814814815,0.5406190687910972,0.5236148962012377,0.48508771929824557,0.5330246913580247,0.5564814814814815,0.5129629629629628,0.5240369261049926,0.5406190687910972,0.5061829232074218,0.478228592937302,0.48508771929824557,0.46502801120448184,0.037446610465015746,0.04906096959903321,0.026474034176844047,0.4758919360950065,0.4807874706735952,0.4711808349170889,0.9222319815047569,0.931632334464787,0.9124867113292723
combined_regularization,wd0.01_do0.4_ls0.2_mw0.9,3,s1_072,focused_combo_combined_regularization-wd0p01_do0p4_ls0p2_mw0p9_lr0.001_wd0.01_do0.4_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5564814814814815,0.541115751480538,0.5058184447369172,0.49583107967547324,0.5212962962962963,0.5564814814814815,0.4898148148148148,0.5083691712939777,0.541115751480538,0.4890264955946961,0.45716347344493796,0.49583107967547324,0.4162637362637362,0.05226951135515686,0.08068051185473042,0.03531894652363086,0.4825283648529191,0.4999570404481496,0.4706601338853377,0.658604867001776,0.6708169713732726,0.6521956496539206
