cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,cnn_epochs,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
0.01,0.4,0.2,0.9,10,1,s1_072,focused_combo_combined_regularization-wd0p01_do0p4_ls0p2_mw0p9_lr0.001_wd0.01_do0.4_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5564814814814815,0.541115751480538,0.5058184447369172,0.49583107967547324,0.5564814814814815,0.5564814814814815,0.5564814814814815,0.541115751480538,0.541115751480538,0.541115751480538,0.49583107967547324,0.49583107967547324,0.49583107967547324,0.0408090756871093,0.0408090756871093,0.0408090756871093,0.4706601338853377,0.4706601338853377,0.4706601338853377,0.6528019799781346,0.6528019799781346,0.6528019799781346
0.005,0.3,0.2,0.9,10,1,s1_048,main_effect_dropout-0p3_lr0.001_wd0.005_do0.3_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5546296296296297,0.5459739854378433,0.4621855883496446,0.5100241909120627,0.5546296296296297,0.5546296296296297,0.5546296296296297,0.5459739854378433,0.5459739854378433,0.5459739854378433,0.5100241909120627,0.5100241909120627,0.5100241909120627,0.0744636745017447,0.0744636745017447,0.0744636745017447,0.48303293748878906,0.48303293748878906,0.48303293748878906,0.6677594940937779,0.6677594940937779,0.6677594940937779
0.005,0.4,0.2,0.9,10,1,s1_049,main_effect_dropout-0p4_lr0.001_wd0.005_do0.4_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5537037037037037,0.5399106321954619,0.5038292448485889,0.4929068124857598,0.5537037037037037,0.5537037037037037,0.5537037037037037,0.5399106321954619,0.5399106321954619,0.5399106321954619,0.4929068124857598,0.4929068124857598,0.4929068124857598,0.04017387620354936,0.04017387620354936,0.04017387620354936,0.46653253310778153,0.46653253310778153,0.46653253310778153,0.6390818494077429,0.6390818494077429,0.6390818494077429
0.002,0.5,0.2,0.9,10,1,s1_045,main_effect_weight_decay-0p002_lr0.001_wd0.002_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5537037037037037,0.549417676024173,0.45028022755645103,0.48690476190476184,0.5537037037037037,0.5537037037037037,0.5537037037037037,0.549417676024173,0.549417676024173,0.549417676024173,0.48690476190476184,0.48690476190476184,0.48690476190476184,0.08330760919833756,0.08330760919833756,0.08330760919833756,0.47900066444415385,0.47900066444415385,0.47900066444415385,0.6503488274089131,0.6503488274089131,0.6503488274089131
0.001,0.5,0.2,0.9,15,1,s1_086,main_effect_weight_decay-0p001_lr0.001_wd0.001_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5527777777777778,0.5416167334557428,0.44729859657106574,0.5103494029190624,0.5527777777777778,0.5527777777777778,0.5527777777777778,0.5416167334557428,0.5416167334557428,0.5416167334557428,0.5103494029190624,0.5103494029190624,0.5103494029190624,0.0849634796070701,0.0849634796070701,0.0849634796070701,0.47186543903823663,0.47186543903823663,0.47186543903823663,0.6420053656556657,0.6420053656556657,0.6420053656556657
0.005,0.5,0.3,0.9,9,1,s1_013,main_effect_label_smoothing-0p3_lr0.001_wd0.005_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5499999999999999,0.5350179518910169,0.4609226661103152,0.47804511278195483,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5350179518910169,0.5350179518910169,0.5350179518910169,0.47804511278195483,0.47804511278195483,0.47804511278195483,0.07175179172614585,0.07175179172614585,0.07175179172614585,0.47375449364102823,0.47375449364102823,0.47375449364102823,0.4617338466364992,0.4617338466364992,0.4617338466364992
0.01,0.6,0.3,0.9,9,1,s1_036,focused_combo_combined_regularization-wd0p01_do0p6_ls0p3_mw0p9_lr0.001_wd0.01_do0.6_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5499999999999999,0.5362901259960082,0.4358859764517507,0.4674273095325726,0.5499999999999999,0.5499999999999999,0.5499999999999999,0.5362901259960082,0.5362901259960082,0.5362901259960082,0.4674273095325726,0.4674273095325726,0.4674273095325726,0.09191884504319058,0.09191884504319058,0.09191884504319058,0.47053261134110225,0.47053261134110225,0.47053261134110225,0.4739984208198808,0.4739984208198808,0.4739984208198808
0.005,0.4,0.2,0.9,15,1,s1_091,main_effect_dropout-0p4_lr0.001_wd0.005_do0.4_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5481481481481482,0.5376251131049893,0.49927730215099597,0.4889291101055807,0.5481481481481482,0.5481481481481482,0.5481481481481482,0.5376251131049893,0.5376251131049893,0.5376251131049893,0.4889291101055807,0.4889291101055807,0.4889291101055807,0.03936546605459503,0.03936546605459503,0.03936546605459503,0.47727046067778234,0.47727046067778234,0.47727046067778234,0.6697464465273126,0.6697464465273126,0.6697464465273126
0.005,0.6,0.2,0.9,9,1,s1_008,main_effect_dropout-0p6_lr0.001_wd0.005_do0.6_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5481481481481482,0.5390975778980895,0.4792257863082401,0.47901298701298706,0.5481481481481482,0.5481481481481482,0.5481481481481482,0.5390975778980895,0.5390975778980895,0.5390975778980895,0.47901298701298706,0.47901298701298706,0.47901298701298706,0.0555169619034121,0.0555169619034121,0.0555169619034121,0.46695121729061795,0.46695121729061795,0.46695121729061795,0.6381899691110782,0.6381899691110782,0.6381899691110782
0.01,0.6,0.15,0.9,9,1,s1_034,focused_combo_combined_regularization-wd0p01_do0p6_ls0p15_mw0p9_lr0.001_wd0.01_do0.6_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5481481481481482,0.5473720331424374,0.46670349788650467,0.49315619967793883,0.5481481481481482,0.5481481481481482,0.5481481481481482,0.5473720331424374,0.5473720331424374,0.5473720331424374,0.49315619967793883,0.49315619967793883,0.49315619967793883,0.06560366512562352,0.06560366512562352,0.06560366512562352,0.4781227574468021,0.4781227574468021,0.4781227574468021,0.7719236674485862,0.7719236674485862,0.7719236674485862
0.005,0.5,0.05,0.9,9,1,s1_010,main_effect_label_smoothing-0p05_lr0.001_wd0.005_do0.5_ls0.05_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5481481481481482,0.5371382243487506,0.4554186749537931,0.4747012987012987,0.5481481481481482,0.5481481481481482,0.5481481481481482,0.5371382243487506,0.5371382243487506,0.5371382243487506,0.4747012987012987,0.4747012987012987,0.4747012987012987,0.07469358990645622,0.07469358990645622,0.07469358990645622,0.47794433765164956,0.47794433765164956,0.47794433765164956,1.194519073201286,1.194519073201286,1.194519073201286
0.02,0.5,0.2,0.9,10,1,s1_047,main_effect_weight_decay-0p02_lr0.001_wd0.02_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5472222222222223,0.5421997924103188,0.44880690618489494,0.5142857142857142,0.5472222222222223,0.5472222222222223,0.5472222222222223,0.5421997924103188,0.5421997924103188,0.5421997924103188,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.07927353627038518,0.07927353627038518,0.07927353627038518,0.4730163935381394,0.4730163935381394,0.4730163935381394,0.6548764584925076,0.6548764584925076,0.6548764584925076
0.001,0.5,0.2,0.9,10,1,s1_044,main_effect_weight_decay-0p001_lr0.001_wd0.001_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5462962962962963,0.5391563420335349,0.45012184346588463,0.439047619047619,0.5462962962962963,0.5462962962962963,0.5462962962962963,0.5391563420335349,0.5391563420335349,0.5391563420335349,0.439047619047619,0.439047619047619,0.439047619047619,0.07746852097537736,0.07746852097537736,0.07746852097537736,0.47376751604094547,0.47376751604094547,0.47376751604094547,0.6558121209346052,0.6558121209346052,0.6558121209346052
0.01,0.5,0.2,0.9,9,1,s1_004,main_effect_weight_decay-0p01_lr0.001_wd0.01_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5462962962962963,0.5361341352295721,0.43992829557472857,0.48571428571428565,0.5462962962962963,0.5462962962962963,0.5462962962962963,0.5361341352295721,0.5361341352295721,0.5361341352295721,0.48571428571428565,0.48571428571428565,0.48571428571428565,0.08567942371908215,0.08567942371908215,0.08567942371908215,0.49130034456922883,0.49130034456922883,0.49130034456922883,0.6639788741821379,0.6639788741821379,0.6639788741821379
