overfit_config_id,overfit_stage,model,cnn_epochs,sqi_mode,window_sampler,windows_per_subject_per_epoch,train_overlap_pct,subject_balanced_accuracy_mean,subject_macro_f1_mean,worst_class_recall_mean,worst_class_f1_mean,pre_frail_recall_mean,pre_frail_f1_mean,pre_frail_precision_mean,robust_non_frail_recall_mean,robust_non_frail_f1_mean,robust_non_frail_precision_mean,young_recall_mean,young_f1_mean,young_precision_mean,overfit_rank
gen_099,generalization,inceptiontime,15,top50_quality,none,all,0.0,0.5564814814814815,0.5548624313423075,0.4694444444444444,0.5109523809523809,0.5777777777777777,0.5865067079463364,0.6011904761904762,0.5666666666666667,0.5623663003663004,0.564041514041514,0.525,0.5157142857142857,0.519047619047619,23
gen_051,generalization,inceptiontime,10,top50_quality,class_subject_balanced,50%,0.0,0.5564814814814815,0.5449620331359462,0.375,0.4291575091575091,0.711111111111111,0.6067720685111989,0.5310522810522811,0.5833333333333334,0.5989565217391305,0.6167832167832168,0.375,0.42915750915750916,0.5419047619047619,24
gen_056,generalization,inceptiontime,10,top50_quality,class_subject_balanced,32,30.0,0.5564814814814814,0.5394577189809387,0.3666666666666666,0.4440925087983912,0.711111111111111,0.6076190476190476,0.533030303030303,0.4833333333333333,0.5292346999405824,0.6284615384615384,0.475,0.4815194093831865,0.5157575757575757,25
gen_016,generalization,inceptiontime,10,top50_quality,none,all,30.0,0.5537037037037037,0.5538777316270922,0.4666666666666667,0.4665411882803187,0.5777777777777778,0.5658348187759952,0.5664224664224664,0.5833333333333333,0.5893845285149634,0.6036363636363636,0.5,0.5064138475903183,0.5377777777777778,26
ref_20260527_top1_g0068,fixed_reference,inceptiontime,50,none,none,all,30.000000000000004,0.5527777777777778,0.5460743831332067,0.4416666666666667,0.4732600732600732,0.6666666666666666,0.599205500381971,0.5508741258741259,0.4666666666666667,0.4966366966366966,0.5368253968253969,0.525,0.5423809523809523,0.5642857142857143,27
ref_20260527_top2_g0056,fixed_reference,inceptiontime,50,none,none,all,50.0,0.5509259259259258,0.5535429686748842,0.4583333333333333,0.5008509316770187,0.5777777777777777,0.5674922600619196,0.57,0.55,0.526231884057971,0.5076631701631702,0.525,0.5669047619047619,0.6202380952380951,28
gen_155,generalization,small_inceptiontime,10,top50_quality,none,all,0.0,0.55,0.5465954623292084,0.4,0.4386813186813186,0.6666666666666666,0.6260887512899898,0.5957575757575758,0.5833333333333334,0.5750163170163171,0.570952380952381,0.4,0.43868131868131865,0.48952380952380947,29
gen_100,generalization,inceptiontime,15,top50_quality,none,all,30.0,0.55,0.5462962673115228,0.4305555555555555,0.4722196796338672,0.6,0.5468899521531101,0.5142857142857142,0.5,0.5127131354957442,0.5413791763791764,0.55,0.5792857142857143,0.6154761904761904,30
gen_045,generalization,inceptiontime,10,top50_quality,subject_balanced,50%,0.0,0.55,0.5406692206503756,0.45,0.4738837289301685,0.6666666666666666,0.5996491228070175,0.5457575757575758,0.4833333333333333,0.5371297809741745,0.6178210678210678,0.5,0.4852287581699346,0.47746031746031736,31
gen_004,generalization,inceptiontime,10,none,subject_balanced,50%,30.0,0.55,0.5369104664299172,0.3666666666666666,0.4482745324850588,0.7333333333333333,0.6259489302967564,0.5531746031746032,0.4666666666666667,0.4969924812030075,0.5596825396825397,0.45,0.48778998778998783,0.5533333333333333,32
gen_017,generalization,inceptiontime,10,top50_quality,subject_balanced,50%,0.0,0.549074074074074,0.5374139856245119,0.35,0.4173160173160173,0.6888888888888889,0.6016267942583732,0.5363636363636364,0.5333333333333333,0.5432380952380952,0.564957264957265,0.425,0.4673770673770674,0.5495238095238095,33
ref_20260608_top4_s1_163,fixed_reference,inceptiontime,15,none,none,all,50.0,0.5481481481481482,0.5448699628495025,0.45,0.4976190476190476,0.6444444444444445,0.594026712134129,0.5611111111111111,0.5,0.5129081063863673,0.5316738816738817,0.5,0.5276750700280112,0.5865079365079365,34
gen_149,generalization,small_inceptiontime,10,none,class_subject_balanced,50%,0.0,0.5481481481481482,0.5366442845080616,0.375,0.4328822055137844,0.711111111111111,0.6300478468899521,0.569090909090909,0.4833333333333333,0.5166917293233082,0.5736263736263736,0.45,0.4631932773109243,0.48571428571428565,35
gen_186,generalization,small_inceptiontime,15,top50_quality,subject_balanced,50%,30.0,0.5472222222222223,0.5352672473725105,0.3583333333333333,0.4053479853479853,0.7333333333333333,0.6332376395534289,0.5634498834498833,0.5333333333333333,0.552930402930403,0.586111111111111,0.375,0.41963369963369956,0.48,36
gen_170,generalization,small_inceptiontime,15,none,none,all,30.0,0.5462962962962963,0.538415016460783,0.4333333333333334,0.4753105590062113,0.6888888888888888,0.6107093821510297,0.5524675324675324,0.5,0.5259642386598908,0.5595804195804195,0.45,0.4785714285714285,0.5166666666666666,37
