overfit_config_id,reference_source,reference_source_config_id,repeat,seed,model,cnn_epochs,sqi_mode,aggregation,subject_balanced_accuracy,subject_macro_f1,worst_class_recall,worst_class_f1,train_val_balanced_accuracy_gap,best_epoch_train_balanced_accuracy,best_epoch_val_balanced_accuracy,duration_sec
ref_20260608_top1_s1_085,20260608.0,s1_085,1,42,inceptiontime,10,none,mean_prob,0.5324074074074074,0.5261911527896183,0.4166666666666667,0.4347826086956521,0.4907480869673055,0.9974304169727854,0.5066823300054799,506.4107571220957
ref_20260608_top1_s1_085,20260608.0,s1_085,2,10042,inceptiontime,10,none,mean_prob,0.5925925925925926,0.5818181818181817,0.5,0.5333333333333333,0.459685101373827,0.9971645146127476,0.5374794132389205,509.8969426259864
ref_20260608_top1_s1_085,20260608.0,s1_085,3,20042,inceptiontime,10,none,mean_prob,0.4490740740740741,0.4484126984126984,0.375,0.4166666666666667,0.5213374633947777,0.9974974462777312,0.4761599828829536,507.1600332648959
ref_20260608_top1_s1_085,20260608.0,s1_085,4,30042,inceptiontime,10,none,mean_prob,0.5648148148148148,0.5473429951690821,0.4166666666666667,0.5,0.4734554561436259,0.99735059604542,0.5238951399017939,506.6398675418459
ref_20260608_top1_s1_085,20260608.0,s1_085,5,40042,inceptiontime,10,none,mean_prob,0.5740740740740741,0.5840854860462704,0.5,0.5714285714285714,0.5106963957955755,0.9977194089103822,0.4870230131148068,505.3379153008573
ref_20260608_top2_s1_091,20260608.0,s1_091,1,42,inceptiontime,10,none,mean_prob,0.5833333333333334,0.5622782446311858,0.3333333333333333,0.3809523809523809,0.4399648763819457,0.9888370047555464,0.5488721283736007,497.3266608489212
ref_20260608_top2_s1_091,20260608.0,s1_091,2,10042,inceptiontime,10,none,mean_prob,0.5648148148148148,0.5476190476190476,0.4166666666666667,0.4761904761904761,0.4962317693811855,0.9897305611310234,0.4934987917498379,491.5094477338717
ref_20260608_top2_s1_091,20260608.0,s1_091,3,20042,inceptiontime,10,none,mean_prob,0.4722222222222221,0.4582953278605453,0.25,0.3076923076923077,0.4845152099362746,0.988585115430214,0.5040699054939395,533.6598180739675
ref_20260608_top2_s1_091,20260608.0,s1_091,4,30042,inceptiontime,10,none,mean_prob,0.6203703703703703,0.5824915824915825,0.3333333333333333,0.4444444444444444,0.4375955408697447,0.9886694863394156,0.5510739454696709,541.9442801999394
ref_20260608_top2_s1_091,20260608.0,s1_091,5,40042,inceptiontime,10,none,mean_prob,0.5833333333333334,0.5827485380116958,0.5,0.5333333333333333,0.4992175105168333,0.9896753979185264,0.490457887401693,542.7308563070837
ref_20260608_top3_s1_105,20260608.0,s1_105,1,42,inceptiontime,10,none,mean_prob,0.5972222222222222,0.5994152046783626,0.5,0.5,0.4437035260455813,0.9922516801288987,0.5485481540833176,543.9381307270378
ref_20260608_top3_s1_105,20260608.0,s1_105,2,10042,inceptiontime,10,none,mean_prob,0.5462962962962963,0.5450038138825324,0.5,0.5,0.4798787946813357,0.9920595132027502,0.5121807185214144,543.3280608658679
ref_20260608_top3_s1_105,20260608.0,s1_105,3,20042,inceptiontime,10,none,mean_prob,0.5,0.4905982905982906,0.25,0.3333333333333333,0.4906895671555603,0.9922637061327608,0.5015741389772006,542.7879904829897
