model,factor_id,reference_profile,variant_profile,reference_case_id,variant_case_id,repeat,fold,reference_native_aggregation_view,variant_native_aggregation_view,contrast_metrics_available,inference,reference_native_balanced_accuracy,variant_native_balanced_accuracy,delta_native_balanced_accuracy,reference_native_macro_f1,variant_native_macro_f1,delta_native_macro_f1,reference_native_worst_class_f1,variant_native_worst_class_f1,delta_native_worst_class_f1
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,0,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.6666666666666666,0.0,0.38888888888888884,0.6190476190476191,0.23015873015873023,0.0,0.0,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,1,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.5,0.0,0.4166666666666667,0.47222222222222215,0.05555555555555547,0.0,0.0,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,1,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.7222222222222222,0.7222222222222222,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,1,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.3333333333333333,0.0,0.19047619047619047,0.27777777777777773,0.08730158730158727,0.0,0.0,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,1,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.6666666666666666,0.16666666666666663,0.43333333333333335,0.6666666666666666,0.23333333333333328,0.0,0.5,0.5
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,1,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.8333333333333334,0.5,-0.33333333333333337,0.8222222222222223,0.4444444444444444,-0.3777777777777779,0.6666666666666666,0.0,-0.6666666666666666
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,2,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.611111111111111,0.5555555555555555,-0.05555555555555558,0.5222222222222221,0.41269841269841273,-0.10952380952380941,0.4,0.0,-0.4
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,2,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.8333333333333334,0.5,-0.33333333333333337,0.8222222222222223,0.41269841269841273,-0.40952380952380957,0.6666666666666666,0.0,-0.6666666666666666
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,2,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.5,-0.16666666666666663,0.43333333333333335,0.3333333333333333,-0.10000000000000003,0.0,0.0,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,2,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.5333333333333333,-0.1333333333333333,0.6666666666666666,0.0,-0.6666666666666666
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,2,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.3333333333333333,0.0,0.19047619047619047,0.2222222222222222,0.031746031746031744,0.0,0.0,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,3,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.7777777777777777,0.5555555555555555,-0.2222222222222222,0.7222222222222222,0.5238095238095238,-0.19841269841269837,0.5,0.0,-0.5
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,3,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.5,0.0,0.41269841269841273,0.4444444444444444,0.03174603174603169,0.0,0.0,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,3,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.6666666666666666,0.16666666666666663,0.41269841269841273,0.6666666666666666,0.2539682539682539,0.0,0.6666666666666666,0.6666666666666666
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,3,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.6666666666666666,0.16666666666666663,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.0,0.5,0.5
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,3,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.3333333333333333,0.0,0.25,0.25,0.0,0.0,0.0,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,4,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.6666666666666666,0.0,0.5555555555555555,0.5555555555555555,0.0,0.0,0.0,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,4,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.4444444444444444,0.5555555555555555,0.11111111111111105,0.35714285714285715,0.48888888888888893,0.13174603174603178,0.0,0.0,0.0
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,4,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.7222222222222222,0.7777777777777777,0.05555555555555547,0.7222222222222222,0.7222222222222222,0.0,0.5,0.5,0.0
