case_id,predictive_rank,true_class,predicted_class,metric_source,row_fraction
compact_cnn__b7_star_fixed10,6,1,0,participant_oof_pooled_repeats,0.3333333333333333
compact_cnn__b7_star_fixed10,6,1,1,participant_oof_pooled_repeats,0.4666666666666667
compact_cnn__b7_star_fixed10,6,1,2,participant_oof_pooled_repeats,0.2
compact_cnn__b7_star_fixed10,6,2,0,participant_oof_pooled_repeats,0.1
compact_cnn__b7_star_fixed10,6,2,1,participant_oof_pooled_repeats,0.375
compact_cnn__b7_star_fixed10,6,2,2,participant_oof_pooled_repeats,0.525
inception_full__b7_star_fixed10,3,0,0,participant_oof_pooled_repeats,0.5777777777777777
inception_full__b7_star_fixed10,3,0,1,participant_oof_pooled_repeats,0.37777777777777777
inception_full__b7_star_fixed10,3,0,2,participant_oof_pooled_repeats,0.044444444444444446
inception_full__b7_star_fixed10,3,1,0,participant_oof_pooled_repeats,0.38333333333333336
inception_full__b7_star_fixed10,3,1,1,participant_oof_pooled_repeats,0.5
inception_full__b7_star_fixed10,3,1,2,participant_oof_pooled_repeats,0.11666666666666667
inception_full__b7_star_fixed10,3,2,0,participant_oof_pooled_repeats,0.0
inception_full__b7_star_fixed10,3,2,1,participant_oof_pooled_repeats,0.375
inception_full__b7_star_fixed10,3,2,2,participant_oof_pooled_repeats,0.625
