case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support
inception_full__b2_star_fixed10,,2,Young,0.7407407407407407,0.5,0.9333333333333333,0.7166666666666667,0.5970149253731343,0.8345238095238096,0.7449313509719088,40
compact_cnn__b3_star_fixed10,,0,Pre-Frail,0.42857142857142855,0.4666666666666667,0.72,0.5933333333333333,0.44680851063829785,0.707111111111111,0.5241988780078033,45
compact_cnn__b3_star_fixed10,,1,Robust/Non-Frail,0.44594594594594594,0.55,0.5176470588235295,0.5338235294117648,0.4925373134328358,0.5664705882352942,0.460776519418041,60
compact_cnn__b3_star_fixed10,,2,Young,0.7272727272727273,0.4,0.9428571428571428,0.6714285714285715,0.5161290322580645,0.7319047619047618,0.6523538624844092,40
inception_full__b3_star_fixed10,,0,Pre-Frail,0.4528301886792453,0.5333333333333333,0.71,0.6216666666666666,0.4897959183673469,0.74,0.5542697187541272,45
inception_full__b3_star_fixed10,,1,Robust/Non-Frail,0.4461538461538462,0.48333333333333334,0.5764705882352941,0.5299019607843137,0.464,0.5421568627450981,0.45213163807564893,60
inception_full__b3_star_fixed10,,2,Young,0.7037037037037037,0.475,0.9238095238095239,0.6994047619047619,0.5671641791044776,0.7550000000000001,0.6693479959013376,40
compact_cnn__b4_star_fixed10,,0,Pre-Frail,0.38181818181818183,0.4666666666666667,0.66,0.5633333333333334,0.42,0.6066666666666667,0.3808179706498125,45
compact_cnn__b4_star_fixed10,,1,Robust/Non-Frail,0.45614035087719296,0.43333333333333335,0.6352941176470588,0.5343137254901961,0.4444444444444444,0.5362745098039216,0.45648701273301096,60
compact_cnn__b4_star_fixed10,,2,Young,0.48484848484848486,0.4,0.8380952380952381,0.6190476190476191,0.4383561643835616,0.6478571428571428,0.5780071598910076,40
inception_full__b4_star_fixed10,,0,Pre-Frail,0.37254901960784315,0.4222222222222222,0.68,0.5511111111111111,0.3958333333333333,0.5875555555555555,0.36824600801551066,45
inception_full__b4_star_fixed10,,1,Robust/Non-Frail,0.47692307692307695,0.5166666666666667,0.6,0.5583333333333333,0.496,0.586078431372549,0.5110303296011139,60
inception_full__b4_star_fixed10,,2,Young,0.4827586206896552,0.35,0.8571428571428571,0.6035714285714285,0.4057971014492754,0.5511904761904762,0.45262699057911915,40
compact_cnn__b5_star_fixed10,,0,Pre-Frail,0.5111111111111111,0.5111111111111111,0.78,0.6455555555555555,0.5111111111111111,0.732,0.5837772782670769,45
compact_cnn__b5_star_fixed10,,1,Robust/Non-Frail,0.45714285714285713,0.5333333333333333,0.5529411764705883,0.5431372549019609,0.49230769230769234,0.5680392156862746,0.4664436573651377,60
compact_cnn__b5_star_fixed10,,2,Young,0.7,0.525,0.9142857142857143,0.7196428571428571,0.6,0.7711904761904762,0.6530878844534882,40
inception_full__b5_star_fixed10,,0,Pre-Frail,0.5348837209302325,0.5111111111111111,0.8,0.6555555555555556,0.5227272727272727,0.7255555555555555,0.5835755093180168,45
inception_full__b5_star_fixed10,,1,Robust/Non-Frail,0.43103448275862066,0.4166666666666667,0.611764705882353,0.5142156862745099,0.423728813559322,0.536078431372549,0.4436089678972534,60
inception_full__b5_star_fixed10,,2,Young,0.5681818181818182,0.625,0.819047619047619,0.7220238095238095,0.5952380952380952,0.8297619047619048,0.6937337335068752,40
compact_cnn__b6_star_fixed10,,0,Pre-Frail,0.4576271186440678,0.6,0.68,0.64,0.5192307692307693,0.7395555555555556,0.5733360639249829,45
compact_cnn__b6_star_fixed10,,1,Robust/Non-Frail,0.4444444444444444,0.4,0.6470588235294118,0.5235294117647059,0.42105263157894735,0.556470588235294,0.4466875810169361,60
compact_cnn__b6_star_fixed10,,2,Young,0.59375,0.475,0.8761904761904762,0.6755952380952381,0.5277777777777778,0.7276190476190476,0.6375212736298783,40
inception_full__b6_star_fixed10,,0,Pre-Frail,0.5319148936170213,0.5555555555555556,0.78,0.6677777777777778,0.5434782608695652,0.7724444444444444,0.6277293340781778,45
inception_full__b6_star_fixed10,,1,Robust/Non-Frail,0.4918032786885246,0.5,0.6352941176470588,0.5676470588235294,0.49586776859504134,0.5837254901960783,0.47836781429279773,60
inception_full__b6_star_fixed10,,2,Young,0.6756756756756757,0.625,0.8857142857142857,0.7553571428571428,0.6493506493506493,0.8209523809523809,0.7113684725223383,40
compact_cnn__b7_star_fixed10,,0,Pre-Frail,0.5384615384615384,0.6222222222222222,0.76,0.6911111111111111,0.5773195876288659,0.7375555555555555,0.6227281126366122,45
compact_cnn__b7_star_fixed10,,1,Robust/Non-Frail,0.5,0.4666666666666667,0.6705882352941176,0.5686274509803921,0.4827586206896552,0.5864705882352941,0.4831992529875861,60
compact_cnn__b7_star_fixed10,,2,Young,0.5675675675675675,0.525,0.8476190476190476,0.6863095238095238,0.5454545454545454,0.7530952380952382,0.594961620315047,40
inception_full__b7_star_fixed10,,0,Pre-Frail,0.5306122448979592,0.5777777777777777,0.77,0.6738888888888889,0.5531914893617021,0.7562222222222222,0.5781066892473538,45
inception_full__b7_star_fixed10,,1,Robust/Non-Frail,0.4838709677419355,0.5,0.6235294117647059,0.5617647058823529,0.4918032786885246,0.6015686274509804,0.5071079186221941,60
inception_full__b7_star_fixed10,,2,Young,0.7352941176470589,0.625,0.9142857142857143,0.7696428571428571,0.6756756756756757,0.8321428571428572,0.7612280426261439,40
