case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support,metric_source
compact_cnn__b1_star_fixed10,0,2,Young,0.5714285714285714,0.5,0.8571428571428571,0.6785714285714286,0.5333333333333333,0.630952380952381,0.5058229813664596,8,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,1,0,Pre-Frail,0.3333333333333333,0.5555555555555556,0.5,0.5277777777777778,0.4166666666666667,0.6222222222222222,0.4982504786426355,9,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,1,1,Robust/Non-Frail,0.5,0.4166666666666667,0.7058823529411765,0.5612745098039216,0.45454545454545453,0.5931372549019608,0.5080505659917424,12,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,1,2,Young,0.25,0.125,0.8571428571428571,0.49107142857142855,0.16666666666666666,0.5595238095238095,0.43111970749838396,8,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,2,0,Pre-Frail,0.5,0.6666666666666666,0.7,0.6833333333333333,0.5714285714285714,0.7777777777777778,0.6763616557734204,9,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,2,1,Robust/Non-Frail,0.4666666666666667,0.5833333333333334,0.5294117647058824,0.5563725490196079,0.5185185185185185,0.607843137254902,0.6110916484765591,12,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,2,2,Young,0.0,0.0,0.9047619047619048,0.4523809523809524,0.0,0.5952380952380952,0.37671118233618234,8,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,3,0,Pre-Frail,0.5555555555555556,0.5555555555555556,0.8,0.6777777777777778,0.5555555555555556,0.7388888888888889,0.6664186457664718,9,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,3,1,Robust/Non-Frail,0.42857142857142855,0.5,0.5294117647058824,0.5147058823529411,0.46153846153846156,0.5735294117647058,0.4892902413490649,12,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,3,2,Young,0.6666666666666666,0.5,0.9047619047619048,0.7023809523809523,0.5714285714285714,0.6785714285714286,0.6399966931216932,8,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,4,0,Pre-Frail,0.3333333333333333,0.4444444444444444,0.6,0.5222222222222221,0.38095238095238093,0.6833333333333333,0.5849369646089706,9,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,4,1,Robust/Non-Frail,0.38461538461538464,0.4166666666666667,0.5294117647058824,0.4730392156862745,0.4,0.5735294117647058,0.5101318545861889,12,participant_oof_per_repeat
compact_cnn__b1_star_fixed10,4,2,Young,0.5,0.25,0.9047619047619048,0.5773809523809523,0.3333333333333333,0.6726190476190476,0.5734615384615385,8,participant_oof_per_repeat
inception_full__b1_star_fixed10,0,0,Pre-Frail,0.6666666666666666,0.4444444444444444,0.9,0.6722222222222223,0.5333333333333333,0.6555555555555556,0.6472914766393028,9,participant_oof_per_repeat
inception_full__b1_star_fixed10,0,1,Robust/Non-Frail,0.5,0.75,0.47058823529411764,0.6102941176470589,0.6,0.5196078431372549,0.4754369649957885,12,participant_oof_per_repeat
inception_full__b1_star_fixed10,0,2,Young,0.4,0.25,0.8571428571428571,0.5535714285714286,0.3076923076923077,0.5178571428571428,0.4617232103645147,8,participant_oof_per_repeat
inception_full__b1_star_fixed10,1,0,Pre-Frail,0.4166666666666667,0.5555555555555556,0.65,0.6027777777777779,0.47619047619047616,0.7777777777777778,0.7081128747795415,9,participant_oof_per_repeat
inception_full__b1_star_fixed10,1,1,Robust/Non-Frail,0.5,0.5,0.6470588235294118,0.5735294117647058,0.5,0.6225490196078431,0.6184586290042947,12,participant_oof_per_repeat
inception_full__b1_star_fixed10,1,2,Young,0.6,0.375,0.9047619047619048,0.6398809523809523,0.46153846153846156,0.6607142857142856,0.6454147761645493,8,participant_oof_per_repeat
inception_full__b1_star_fixed10,2,0,Pre-Frail,0.5,0.6666666666666666,0.7,0.6833333333333333,0.5714285714285714,0.8222222222222222,0.7239384072717407,9,participant_oof_per_repeat
inception_full__b1_star_fixed10,2,1,Robust/Non-Frail,0.5,0.4166666666666667,0.7058823529411765,0.5612745098039216,0.45454545454545453,0.6029411764705882,0.6464899704634279,12,participant_oof_per_repeat
inception_full__b1_star_fixed10,2,2,Young,0.5714285714285714,0.5,0.8571428571428571,0.6785714285714286,0.5333333333333333,0.7380952380952381,0.5224562434691745,8,participant_oof_per_repeat
inception_full__b1_star_fixed10,3,0,Pre-Frail,0.4444444444444444,0.4444444444444444,0.75,0.5972222222222222,0.4444444444444444,0.7388888888888889,0.6318219207692892,9,participant_oof_per_repeat
inception_full__b1_star_fixed10,3,1,Robust/Non-Frail,0.4666666666666667,0.5833333333333334,0.5294117647058824,0.5563725490196079,0.5185185185185185,0.6519607843137255,0.5373747779997781,12,participant_oof_per_repeat
inception_full__b1_star_fixed10,3,2,Young,0.8,0.5,0.9523809523809523,0.7261904761904762,0.6153846153846154,0.7678571428571429,0.7101190476190476,8,participant_oof_per_repeat
inception_full__b1_star_fixed10,4,0,Pre-Frail,0.5555555555555556,0.5555555555555556,0.8,0.6777777777777778,0.5555555555555556,0.7555555555555555,0.6780020703933747,9,participant_oof_per_repeat
inception_full__b1_star_fixed10,4,1,Robust/Non-Frail,0.5,0.5,0.6470588235294118,0.5735294117647058,0.5,0.6372549019607844,0.5546259253302598,12,participant_oof_per_repeat
inception_full__b1_star_fixed10,4,2,Young,0.5,0.5,0.8095238095238095,0.6547619047619048,0.5,0.7321428571428572,0.6610287659200703,8,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,0,0,Pre-Frail,0.7142857142857143,0.5555555555555556,0.9,0.7277777777777779,0.625,0.8888888888888888,0.8109126984126984,9,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,0,1,Robust/Non-Frail,0.5625,0.75,0.5882352941176471,0.6691176470588236,0.6428571428571429,0.7303921568627452,0.6474670109638645,12,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,0,2,Young,0.8333333333333334,0.625,0.9523809523809523,0.7886904761904762,0.7142857142857143,0.8095238095238095,0.7227571770334928,8,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,1,0,Pre-Frail,0.5,0.3333333333333333,0.85,0.5916666666666667,0.4,0.7388888888888889,0.6122334455667788,9,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,1,1,Robust/Non-Frail,0.5,0.75,0.47058823529411764,0.6102941176470589,0.6,0.5882352941176471,0.48195251750238965,12,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,1,2,Young,0.8,0.5,0.9523809523809523,0.7261904761904762,0.6153846153846154,0.755952380952381,0.6584385521885522,8,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,2,0,Pre-Frail,0.4666666666666667,0.7777777777777778,0.6,0.6888888888888889,0.5833333333333334,0.788888888888889,0.7297578964245632,9,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,2,1,Robust/Non-Frail,0.4444444444444444,0.3333333333333333,0.7058823529411765,0.5196078431372549,0.38095238095238093,0.5882352941176471,0.616023022456846,12,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,2,2,Young,0.6,0.375,0.9047619047619048,0.6398809523809523,0.46153846153846156,0.7738095238095238,0.5338068181818182,8,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,3,0,Pre-Frail,0.375,0.3333333333333333,0.75,0.5416666666666666,0.35294117647058826,0.7333333333333333,0.587327957941993,9,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,3,1,Robust/Non-Frail,0.5625,0.75,0.5882352941176471,0.6691176470588236,0.6428571428571429,0.6715686274509804,0.6264028795278795,12,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,3,2,Young,1.0,0.625,1.0,0.8125,0.7692307692307693,0.8452380952380952,0.8461710703090013,8,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,4,0,Pre-Frail,0.5833333333333334,0.7777777777777778,0.75,0.7638888888888888,0.6666666666666666,0.7888888888888889,0.6805796055796056,9,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,4,1,Robust/Non-Frail,0.5,0.4166666666666667,0.7058823529411765,0.5612745098039216,0.45454545454545453,0.6372549019607843,0.5973582016538673,12,participant_oof_per_repeat
compact_cnn__b2_star_fixed10,4,2,Young,0.7142857142857143,0.625,0.9047619047619048,0.7648809523809523,0.6666666666666666,0.8630952380952381,0.7694444444444444,8,participant_oof_per_repeat
inception_full__b2_star_fixed10,0,0,Pre-Frail,0.3333333333333333,0.3333333333333333,0.7,0.5166666666666666,0.3333333333333333,0.6611111111111111,0.5897707231040565,9,participant_oof_per_repeat
inception_full__b2_star_fixed10,0,1,Robust/Non-Frail,0.4117647058823529,0.5833333333333334,0.4117647058823529,0.49754901960784315,0.4827586206896552,0.5392156862745098,0.5507384679017806,12,participant_oof_per_repeat
inception_full__b2_star_fixed10,0,2,Young,1.0,0.375,1.0,0.6875,0.5454545454545454,0.8392857142857143,0.7990896358543418,8,participant_oof_per_repeat
inception_full__b2_star_fixed10,1,0,Pre-Frail,0.6,0.3333333333333333,0.9,0.6166666666666667,0.42857142857142855,0.7722222222222221,0.6317449606923291,9,participant_oof_per_repeat
inception_full__b2_star_fixed10,1,1,Robust/Non-Frail,0.47368421052631576,0.75,0.4117647058823529,0.5808823529411764,0.5806451612903226,0.5686274509803921,0.5384808539413803,12,participant_oof_per_repeat
inception_full__b2_star_fixed10,1,2,Young,0.8,0.5,0.9523809523809523,0.7261904761904762,0.6153846153846154,0.7321428571428572,0.7138392857142857,8,participant_oof_per_repeat
inception_full__b2_star_fixed10,2,0,Pre-Frail,0.5555555555555556,0.5555555555555556,0.8,0.6777777777777778,0.5555555555555556,0.8,0.6152257748748977,9,participant_oof_per_repeat
inception_full__b2_star_fixed10,2,1,Robust/Non-Frail,0.5714285714285714,0.6666666666666666,0.6470588235294118,0.6568627450980392,0.6153846153846154,0.6470588235294118,0.6650333462833463,12,participant_oof_per_repeat
inception_full__b2_star_fixed10,2,2,Young,0.6666666666666666,0.5,0.9047619047619048,0.7023809523809523,0.5714285714285714,0.8095238095238095,0.6861111111111111,8,participant_oof_per_repeat
inception_full__b2_star_fixed10,3,0,Pre-Frail,0.5,0.3333333333333333,0.85,0.5916666666666667,0.4,0.6888888888888889,0.5842174881648565,9,participant_oof_per_repeat
inception_full__b2_star_fixed10,3,1,Robust/Non-Frail,0.4666666666666667,0.5833333333333334,0.5294117647058824,0.5563725490196079,0.5185185185185185,0.6176470588235294,0.5559742669611091,12,participant_oof_per_repeat
inception_full__b2_star_fixed10,3,2,Young,0.625,0.625,0.8571428571428571,0.7410714285714286,0.625,0.875,0.8074392712550607,8,participant_oof_per_repeat
inception_full__b2_star_fixed10,4,0,Pre-Frail,0.42857142857142855,0.6666666666666666,0.6,0.6333333333333333,0.5217391304347826,0.7,0.6336860670194004,9,participant_oof_per_repeat
inception_full__b2_star_fixed10,4,1,Robust/Non-Frail,0.4,0.3333333333333333,0.6470588235294118,0.4901960784313726,0.36363636363636365,0.5588235294117647,0.4487443654413468,12,participant_oof_per_repeat
inception_full__b2_star_fixed10,4,2,Young,0.8,0.5,0.9523809523809523,0.7261904761904762,0.6153846153846154,0.9107142857142857,0.8090097402597403,8,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,0,0,Pre-Frail,0.42857142857142855,0.3333333333333333,0.8,0.5666666666666667,0.375,0.75,0.5653846153846154,9,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,0,1,Robust/Non-Frail,0.47368421052631576,0.75,0.4117647058823529,0.5808823529411764,0.5806451612903226,0.5686274509803921,0.4580632894023074,12,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,0,2,Young,0.6666666666666666,0.25,0.9523809523809523,0.6011904761904762,0.36363636363636365,0.7202380952380952,0.6474320409982175,8,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,1,0,Pre-Frail,0.2727272727272727,0.3333333333333333,0.6,0.4666666666666667,0.3,0.6888888888888889,0.5156465448132115,9,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,1,1,Robust/Non-Frail,0.25,0.25,0.47058823529411764,0.3602941176470588,0.25,0.5196078431372548,0.4546621812047004,12,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,1,2,Young,0.5,0.375,0.8571428571428571,0.6160714285714286,0.42857142857142855,0.6547619047619047,0.5848597427476738,8,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,2,0,Pre-Frail,0.5384615384615384,0.7777777777777778,0.7,0.7388888888888889,0.6363636363636364,0.7777777777777778,0.6007549857549858,9,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,2,1,Robust/Non-Frail,0.5384615384615384,0.5833333333333334,0.6470588235294118,0.6151960784313726,0.56,0.5686274509803921,0.5426287039032137,12,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,2,2,Young,0.6666666666666666,0.25,0.9523809523809523,0.6011904761904762,0.36363636363636365,0.7916666666666667,0.6854513735318688,8,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,3,0,Pre-Frail,0.5,0.3333333333333333,0.85,0.5916666666666667,0.4,0.7277777777777779,0.6024772946493008,9,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,3,1,Robust/Non-Frail,0.47058823529411764,0.6666666666666666,0.47058823529411764,0.5686274509803921,0.5517241379310345,0.5784313725490196,0.47524767329333895,12,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,3,2,Young,0.8333333333333334,0.625,0.9523809523809523,0.7886904761904762,0.7142857142857143,0.7857142857142857,0.7631833036244801,8,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,4,0,Pre-Frail,0.4166666666666667,0.5555555555555556,0.65,0.6027777777777779,0.47619047619047616,0.6555555555555554,0.5690564373897707,9,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,4,1,Robust/Non-Frail,0.46153846153846156,0.5,0.5882352941176471,0.5441176470588236,0.48,0.5686274509803921,0.5090957489412867,12,participant_oof_per_repeat
compact_cnn__b3_star_fixed10,4,2,Young,1.0,0.5,1.0,0.75,0.6666666666666666,0.6726190476190477,0.6816986962778038,8,participant_oof_per_repeat
inception_full__b3_star_fixed10,0,0,Pre-Frail,0.4166666666666667,0.5555555555555556,0.65,0.6027777777777779,0.47619047619047616,0.7388888888888889,0.6269925064042712,9,participant_oof_per_repeat
inception_full__b3_star_fixed10,0,1,Robust/Non-Frail,0.3333333333333333,0.25,0.6470588235294118,0.4485294117647059,0.2857142857142857,0.49019607843137253,0.4265003844960771,12,participant_oof_per_repeat
inception_full__b3_star_fixed10,0,2,Young,0.5,0.5,0.8095238095238095,0.6547619047619048,0.5,0.7976190476190477,0.6961016414141414,8,participant_oof_per_repeat
inception_full__b3_star_fixed10,1,0,Pre-Frail,0.5,0.4444444444444444,0.8,0.6222222222222222,0.47058823529411764,0.75,0.6482291401409048,9,participant_oof_per_repeat
inception_full__b3_star_fixed10,1,1,Robust/Non-Frail,0.5333333333333333,0.6666666666666666,0.5882352941176471,0.6274509803921569,0.5925925925925926,0.5784313725490196,0.5876291904552774,12,participant_oof_per_repeat
inception_full__b3_star_fixed10,1,2,Young,0.8333333333333334,0.625,0.9523809523809523,0.7886904761904762,0.7142857142857143,0.7976190476190477,0.7988782051282051,8,participant_oof_per_repeat
inception_full__b3_star_fixed10,2,0,Pre-Frail,0.5,0.6666666666666666,0.7,0.6833333333333333,0.5714285714285714,0.7777777777777778,0.6503086419753086,9,participant_oof_per_repeat
inception_full__b3_star_fixed10,2,1,Robust/Non-Frail,0.38461538461538464,0.4166666666666667,0.5294117647058824,0.4730392156862745,0.4,0.5637254901960784,0.56179995084247,12,participant_oof_per_repeat
inception_full__b3_star_fixed10,2,2,Young,0.5,0.25,0.9047619047619048,0.5773809523809523,0.3333333333333333,0.7321428571428571,0.6128871859135017,8,participant_oof_per_repeat
inception_full__b3_star_fixed10,3,0,Pre-Frail,0.5,0.4444444444444444,0.8,0.6222222222222222,0.47058823529411764,0.7333333333333334,0.5474955908289242,9,participant_oof_per_repeat
inception_full__b3_star_fixed10,3,1,Robust/Non-Frail,0.4375,0.5833333333333334,0.47058823529411764,0.5269607843137255,0.5,0.5735294117647058,0.4858986524747394,12,participant_oof_per_repeat
inception_full__b3_star_fixed10,3,2,Young,0.8,0.5,0.9523809523809523,0.7261904761904762,0.6153846153846154,0.7678571428571429,0.7181372549019608,8,participant_oof_per_repeat
inception_full__b3_star_fixed10,4,0,Pre-Frail,0.38461538461538464,0.5555555555555556,0.6,0.5777777777777777,0.45454545454545453,0.7222222222222222,0.5745211458598187,9,participant_oof_per_repeat
inception_full__b3_star_fixed10,4,1,Robust/Non-Frail,0.5,0.5,0.6470588235294118,0.5735294117647058,0.5,0.588235294117647,0.47353535353535353,12,participant_oof_per_repeat
inception_full__b3_star_fixed10,4,2,Young,1.0,0.5,1.0,0.75,0.6666666666666666,0.7142857142857143,0.6992559523809524,8,participant_oof_per_repeat
