case_id,class_label,class_name,metric,n,mean_sd
compact_cnn__b5_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,62.3 ± 4.2
compact_cnn__b5_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,54.3 ± 4.2
compact_cnn__b5_star_fixed10,1,Robust/Non-Frail,f1,5,48.7 ± 7.3
compact_cnn__b5_star_fixed10,1,Robust/Non-Frail,recall,5,53.3 ± 12.6
compact_cnn__b5_star_fixed10,1,Robust/Non-Frail,specificity,5,55.3 ± 5.3
compact_cnn__b5_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,57.2 ± 5.3
compact_cnn__b5_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,50.9 ± 6.4
compact_cnn__b5_star_fixed10,2,Young,balanced_accuracy_ovr,5,72.0 ± 6.6
compact_cnn__b5_star_fixed10,2,Young,f1,5,60.1 ± 11.5
compact_cnn__b5_star_fixed10,2,Young,recall,5,52.5 ± 10.5
compact_cnn__b5_star_fixed10,2,Young,specificity,5,91.4 ± 6.2
compact_cnn__b5_star_fixed10,2,Young,roc_auc_ovr,5,77.1 ± 6.8
compact_cnn__b5_star_fixed10,2,Young,pr_auc_ovr,5,67.9 ± 11.5
compact_cnn__b6_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,64.0 ± 7.0
compact_cnn__b6_star_fixed10,0,Pre-Frail,f1,5,51.7 ± 8.6
compact_cnn__b6_star_fixed10,0,Pre-Frail,recall,5,60.0 ± 12.7
compact_cnn__b6_star_fixed10,0,Pre-Frail,specificity,5,68.0 ± 8.4
compact_cnn__b6_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,74.2 ± 6.4
compact_cnn__b6_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,61.6 ± 6.6
compact_cnn__b6_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,52.4 ± 4.4
compact_cnn__b6_star_fixed10,1,Robust/Non-Frail,f1,5,41.8 ± 7.3
compact_cnn__b6_star_fixed10,1,Robust/Non-Frail,recall,5,40.0 ± 9.1
compact_cnn__b6_star_fixed10,1,Robust/Non-Frail,specificity,5,64.7 ± 8.3
compact_cnn__b6_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,54.6 ± 4.6
compact_cnn__b6_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,48.5 ± 3.9
compact_cnn__b6_star_fixed10,2,Young,balanced_accuracy_ovr,5,67.6 ± 5.9
compact_cnn__b6_star_fixed10,2,Young,f1,5,52.6 ± 9.6
compact_cnn__b6_star_fixed10,2,Young,recall,5,47.5 ± 10.5
compact_cnn__b6_star_fixed10,2,Young,specificity,5,87.6 ± 4.3
compact_cnn__b6_star_fixed10,2,Young,roc_auc_ovr,5,73.3 ± 9.8
compact_cnn__b6_star_fixed10,2,Young,pr_auc_ovr,5,64.8 ± 9.7
compact_cnn__b7_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,69.1 ± 5.3
compact_cnn__b7_star_fixed10,0,Pre-Frail,f1,5,57.0 ± 7.0
