case_id,aggregation_view,declared_source_line,resolved_config_balance_line,source_line_provenance,source_replay_validation,evidence_role,quality_weighting,quality_weight_source,primary_ranking_eligible,participant_balanced_accuracy_mean_sd,participant_macro_f1_mean_sd,worst_class_recall,worst_class_f1,repeat_count,participant_oof_prediction_count,metric_source
inception_full__b0_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,56.8 ± 2.1,57.2 ± 2.2,0.45555555555555555,0.4662898550724638,5,145,same_fitted_oof_report_reaggregation
inception_full__b0_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,57.3 ± 3.3,57.9 ± 4.0,0.4666666666666667,0.4698705608117373,5,145,same_fitted_oof_report_reaggregation
inception_full__b1_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,50.3 ± 2.0,50.4 ± 2.0,0.39722222222222225,0.43364413364413357,5,145,same_fitted_oof_report_reaggregation
inception_full__b1_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,50.3 ± 2.0,50.5 ± 2.1,0.39722222222222225,0.43364413364413357,5,145,same_fitted_oof_report_reaggregation
inception_full__b1_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,49.4 ± 6.5,49.8 ± 6.5,0.4111111111111111,0.4615384615384615,5,145,same_fitted_oof_report_reaggregation
inception_full__b2_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,50.9 ± 4.3,51.8 ± 3.7,0.3666666666666666,0.4160856687172476,5,145,same_fitted_oof_report_reaggregation
inception_full__b2_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,50.9 ± 4.7,51.8 ± 4.2,0.3666666666666666,0.41621933621933627,5,145,same_fitted_oof_report_reaggregation
inception_full__b2_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,50.0 ± 5.8,50.9 ± 4.9,0.3666666666666666,0.4101708817498292,5,145,same_fitted_oof_report_reaggregation
inception_full__b3_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,49.7 ± 5.3,50.3 ± 6.6,0.37777777777777777,0.40295390883626175,5,145,same_fitted_oof_report_reaggregation
inception_full__b3_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,49.7 ± 5.3,50.3 ± 6.6,0.37777777777777777,0.40295390883626175,5,145,same_fitted_oof_report_reaggregation
inception_full__b3_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,51.2 ± 4.6,51.7 ± 5.3,0.3888888888888889,0.40896686159844053,5,145,same_fitted_oof_report_reaggregation
inception_full__b4_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,43.0 ± 6.6,43.1 ± 6.5,0.3194444444444445,0.3466666666666666,5,145,same_fitted_oof_report_reaggregation
