case_id,bin_index,bin_left,bin_right,count,fraction,mean_confidence,accuracy
compact_cnn__b5_star_fixed10,5,0.5,0.6000000000000001,21,0.14482758620689656,0.5497947383895865,0.47619047619047616
compact_cnn__b5_star_fixed10,6,0.6000000000000001,0.7000000000000001,20,0.13793103448275862,0.6541936608581617,0.45
compact_cnn__b5_star_fixed10,7,0.7000000000000001,0.8,16,0.1103448275862069,0.7477995139621199,0.3125
compact_cnn__b5_star_fixed10,8,0.8,0.9,28,0.19310344827586207,0.8442508359505864,0.6071428571428571
compact_cnn__b5_star_fixed10,9,0.9,1.0,50,0.3448275862068966,0.9518303130706106,0.6
inception_full__b5_star_fixed10,0,0.0,0.1,0,0.0,,
inception_full__b5_star_fixed10,1,0.1,0.2,0,0.0,,
inception_full__b5_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
inception_full__b5_star_fixed10,3,0.30000000000000004,0.4,3,0.020689655172413793,0.3813873265034953,0.6666666666666666
inception_full__b5_star_fixed10,4,0.4,0.5,5,0.034482758620689655,0.44682553732629604,0.2
inception_full__b5_star_fixed10,5,0.5,0.6000000000000001,31,0.21379310344827587,0.538430775854849,0.3870967741935484
inception_full__b5_star_fixed10,6,0.6000000000000001,0.7000000000000001,12,0.08275862068965517,0.6546413234040868,0.4166666666666667
inception_full__b5_star_fixed10,7,0.7000000000000001,0.8,19,0.1310344827586207,0.7451414009638274,0.47368421052631576
inception_full__b5_star_fixed10,8,0.8,0.9,35,0.2413793103448276,0.8510509421333127,0.5142857142857142
inception_full__b5_star_fixed10,9,0.9,1.0,40,0.27586206896551724,0.9642044093249449,0.65
compact_cnn__b6_star_fixed10,0,0.0,0.1,0,0.0,,
compact_cnn__b6_star_fixed10,1,0.1,0.2,0,0.0,,
compact_cnn__b6_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
compact_cnn__b6_star_fixed10,3,0.30000000000000004,0.4,3,0.020689655172413793,0.37404665829435696,0.3333333333333333
compact_cnn__b6_star_fixed10,4,0.4,0.5,12,0.08275862068965517,0.45179890320445604,0.25
compact_cnn__b6_star_fixed10,5,0.5,0.6000000000000001,29,0.2,0.5595806414712267,0.20689655172413793
compact_cnn__b6_star_fixed10,6,0.6000000000000001,0.7000000000000001,20,0.13793103448275862,0.6498036611969122,0.55
compact_cnn__b6_star_fixed10,7,0.7000000000000001,0.8,18,0.12413793103448276,0.7478112816669035,0.3888888888888889
compact_cnn__b6_star_fixed10,8,0.8,0.9,26,0.1793103448275862,0.8525714259831392,0.6923076923076923
compact_cnn__b6_star_fixed10,9,0.9,1.0,37,0.25517241379310346,0.9593666978741711,0.6486486486486487
inception_full__b6_star_fixed10,0,0.0,0.1,0,0.0,,
inception_full__b6_star_fixed10,1,0.1,0.2,0,0.0,,
inception_full__b6_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
inception_full__b6_star_fixed10,3,0.30000000000000004,0.4,2,0.013793103448275862,0.38729200416595855,0.5
inception_full__b6_star_fixed10,4,0.4,0.5,8,0.05517241379310345,0.465918175970334,0.625
inception_full__b6_star_fixed10,5,0.5,0.6000000000000001,27,0.18620689655172415,0.5526997192077796,0.5185185185185185
inception_full__b6_star_fixed10,6,0.6000000000000001,0.7000000000000001,29,0.2,0.6598416658195329,0.3448275862068966
inception_full__b6_star_fixed10,7,0.7000000000000001,0.8,16,0.1103448275862069,0.7435571315125225,0.625
inception_full__b6_star_fixed10,8,0.8,0.9,35,0.2413793103448276,0.8533695746850349,0.5428571428571428
inception_full__b6_star_fixed10,9,0.9,1.0,28,0.19310344827586207,0.9655388888238615,0.75
compact_cnn__b7_star_fixed10,0,0.0,0.1,0,0.0,,
compact_cnn__b7_star_fixed10,1,0.1,0.2,0,0.0,,
compact_cnn__b7_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
compact_cnn__b7_star_fixed10,3,0.30000000000000004,0.4,2,0.013793103448275862,0.36168797352463267,0.5
compact_cnn__b7_star_fixed10,4,0.4,0.5,7,0.04827586206896552,0.4670454238073289,0.7142857142857143
compact_cnn__b7_star_fixed10,5,0.5,0.6000000000000001,35,0.2413793103448276,0.5575655205093162,0.22857142857142856
compact_cnn__b7_star_fixed10,6,0.6000000000000001,0.7000000000000001,18,0.12413793103448276,0.6539644664111024,0.6111111111111112
compact_cnn__b7_star_fixed10,7,0.7000000000000001,0.8,14,0.09655172413793103,0.7558832961442334,0.5714285714285714
compact_cnn__b7_star_fixed10,8,0.8,0.9,20,0.13793103448275862,0.843746484772374,0.7
compact_cnn__b7_star_fixed10,9,0.9,1.0,49,0.33793103448275863,0.9623605405309975,0.6122448979591837
inception_full__b7_star_fixed10,0,0.0,0.1,0,0.0,,
inception_full__b7_star_fixed10,1,0.1,0.2,0,0.0,,
inception_full__b7_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
inception_full__b7_star_fixed10,3,0.30000000000000004,0.4,1,0.006896551724137931,0.3932349563963067,0.0
inception_full__b7_star_fixed10,4,0.4,0.5,6,0.041379310344827586,0.4795297540399057,0.5
inception_full__b7_star_fixed10,5,0.5,0.6000000000000001,22,0.15172413793103448,0.5573445583160981,0.45454545454545453
inception_full__b7_star_fixed10,6,0.6000000000000001,0.7000000000000001,23,0.15862068965517243,0.6499741995762885,0.5217391304347826
inception_full__b7_star_fixed10,7,0.7000000000000001,0.8,25,0.1724137931034483,0.7456380242223507,0.36
inception_full__b7_star_fixed10,8,0.8,0.9,26,0.1793103448275862,0.8518710506682484,0.6538461538461539
inception_full__b7_star_fixed10,9,0.9,1.0,42,0.2896551724137931,0.9614449977673519,0.7142857142857143
