stage1_regularization_factor,cnn_epochs,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
baseline,12,1,s1_112,main_effect_baseline-base_lr0.001_wd0.0005_do0.2_ls0.1_mw90_ep12,0.5962962962962963,0.5999128399960043,0.5144672324330835,0.49133986928104567,0.5962962962962963,0.5962962962962963,0.5962962962962963,0.5999128399960043,0.5999128399960043,0.5999128399960043,0.49133986928104567,0.49133986928104567,0.49133986928104567,0.06591331027857188,0.06591331027857188,0.06591331027857188,0.4398595172829126,0.4398595172829126,0.4398595172829126,0.9453199060934411,0.9453199060934411,0.9453199060934411
weight_decay,12,9,s1_119,main_effect_weight_decay-0p005_lr0.001_wd0.005_do0.2_ls0.1_mw90_ep12,0.5962962962962963,0.5968184677562342,0.4832000000000001,0.5307541894498415,0.5737654320987654,0.5962962962962963,0.5546296296296296,0.571265906369963,0.5968184677562342,0.5442779021231033,0.5015617664324235,0.5307541894498415,0.457364953886693,0.08011817506130703,0.11825962754115553,0.041330952075306786,0.4490646509719294,0.46056009491000643,0.4424261012824108,0.9505461043030409,0.9898880833855831,0.9208126758763493
max_windows_fraction,5,5,s1_025,main_effect_max_windows_fraction-0p7_lr0.001_wd0.0005_do0.2_ls0.1_mw70_ep5,0.5925925925925926,0.5955358744643979,0.5266837652219192,0.5275144724556489,0.5527777777777778,0.5925925925925926,0.5305555555555556,0.5510560488222487,0.5955358744643979,0.5280688252618078,0.4914662368479702,0.5275144724556489,0.45675500345065567,0.05619816680225875,0.0940510142341041,0.03974477042839773,0.45744446775889125,0.47641764326019953,0.4409277010806082,0.9571452218210863,1.0036555057218668,0.9185732302068608
dropout,12,7,s1_123,main_effect_dropout-0p1_lr0.001_wd0.0005_do0.1_ls0.1_mw90_ep12,0.5907407407407408,0.5885575648184346,0.5405362024469279,0.5138656126482214,0.5685185185185185,0.5907407407407408,0.5361111111111111,0.5671736231753475,0.5885575648184346,0.531158347328626,0.4905371019295792,0.5138656126482214,0.47045487845487843,0.0617081359527863,0.1035423678880959,0.022299249219985738,0.4547833996118969,0.4622868659077891,0.4397470778441912,0.9616956584001183,0.9910538720895096,0.950107730614415
label_smoothing,10,6,s1_096,main_effect_label_smoothing-0p2_lr0.001_wd0.0005_do0.2_ls0.2_mw90_ep10,0.5907407407407408,0.5876223283890626,0.5319022736242359,0.5079003831417624,0.5612654320987654,0.5907407407407408,0.537962962962963,0.5629604950145505,0.5876223283890626,0.5423679739792272,0.49896597853533314,0.5193581780538302,0.47077497665732954,0.047238169408072704,0.07969151342135161,0.02300884007368364,0.4522604711225125,0.46349086364208764,0.4394846836765544,1.222979269930902,3.029007337011187,0.49526658473913904
baseline,15,1,s1_149,main_effect_baseline-base_lr0.001_wd0.0005_do0.2_ls0.1_mw90_ep15,0.5907407407407408,0.5943210959101837,0.5101113727696109,0.5118954248366012,0.5907407407407408,0.5907407407407408,0.5907407407407408,0.5943210959101837,0.5943210959101837,0.5943210959101837,0.5118954248366012,0.5118954248366012,0.5118954248366012,0.0649469552472229,0.0649469552472229,0.0649469552472229,0.44050304072330204,0.44050304072330204,0.44050304072330204,0.9212234212415822,0.9212234212415822,0.9212234212415822
combined_regularization,8,9,s1_068,strong_combo_combined_regularization-wd0p005_do0p5_ls0p2_mw0p9_lr0.001_wd0.005_do0.5_ls0.2_mw90_ep8,0.587962962962963,0.5888402617907261,0.5546967692620443,0.5332454212454213,0.5596707818930042,0.587962962962963,0.5361111111111111,0.5592390417183845,0.5888402617907261,0.5355058452961268,0.48488444791491403,0.5332454212454213,0.4341176470588235,0.045722977139354394,0.07583271152460659,0.02418953792150581,0.4604509576663182,0.47395719591861935,0.4425604873447197,0.6284254506982276,0.8143332393871141,0.4567389084751978
max_windows_fraction,12,5,s1_138,main_effect_max_windows_fraction-0p3_lr0.001_wd0.0005_do0.2_ls0.1_mw30_ep12,0.587962962962963,0.5881439252182286,0.5213065635478251,0.5141570503799605,0.5674074074074074,0.587962962962963,0.5453703703703703,0.5701530399431777,0.5909828959206623,0.5465300284286688,0.49578701947459525,0.5446149474282467,0.4586945304437565,0.055264113828004946,0.06592956710710333,0.03738264673738216,0.4481693005997293,0.45807188918087033,0.43878680709728995,0.9357241998563897,0.9605862267775118,0.9151375376704852
label_smoothing,15,6,s1_171,main_effect_label_smoothing-0p3_lr0.001_wd0.0005_do0.2_ls0.3_mw90_ep15,0.587962962962963,0.5866980402775261,0.5094719151828585,0.4948801054018445,0.5740740740740741,0.587962962962963,0.5592592592592592,0.5734314178543715,0.5873396032167962,0.5612033842776877,0.5007553586774705,0.547946127946128,0.4753333333333334,0.05334950713413603,0.07366786770709663,0.023515602035556082,0.4471059279419229,0.4545524488996727,0.4420585821222602,1.2654728415740764,3.175397800544963,0.4840340618735734
weight_decay,5,9,s1_006,main_effect_weight_decay-0p001_lr0.001_wd0.001_do0.2_ls0.1_mw90_ep5,0.587037037037037,0.5940996307974237,0.5072519789077992,0.5346491228070176,0.5580246913580247,0.587037037037037,0.5407407407407407,0.5647411053253617,0.5940996307974237,0.5485902527283153,0.5020512395657254,0.5346491228070176,0.47257085020242917,0.06832583356786472,0.08335904953000577,0.04017387620354934,0.45022124913509537,0.45691706058647386,0.44324081948172245,0.9571968788468637,0.9811842986523246,0.9201117386167532
max_windows_fraction,15,5,s1_173,main_effect_max_windows_fraction-0p7_lr0.001_wd0.0005_do0.2_ls0.1_mw70_ep15,0.5861111111111111,0.5894603729030974,0.5049712317210427,0.5173483709273183,0.547037037037037,0.5861111111111111,0.5046296296296297,0.5515756265266544,0.5928327602145971,0.4996531952863895,0.4720335604480173,0.5237616099071207,0.427632512415121,0.043694365858116244,0.06535817219104001,0.032899700008221955,0.45918445585130635,0.4887579970964396,0.42726405330980777,0.9522998846029275,1.0118684346846334,0.9137105955704822
max_windows_fraction,8,5,s1_064,main_effect_max_windows_fraction-0p3_lr0.001_wd0.0005_do0.2_ls0.1_mw30_ep8,0.586111111111111,0.5801641156687596,0.5690612029295803,0.5119892264598147,0.5527777777777778,0.586111111111111,0.4925925925925926,0.5540996874479581,0.5822411145752555,0.4986582229685196,0.494821557456717,0.5400715314857191,0.4506757088800432,0.039737843281563934,0.05319039487535211,0.013733700902029017,0.46323972511942096,0.49491442261805396,0.4469804318253706,0.9545518921203587,1.01567168926469,0.9282681214596721
dropout,5,7,s1_011,main_effect_dropout-0p0_lr0.001_wd0.0005_do0_ls0.1_mw90_ep5,0.5824074074074074,0.5894298998959904,0.4941684232423875,0.5387301587301587,0.5510582010582011,0.5824074074074074,0.5287037037037037,0.557419757839262,0.5894298998959904,0.5347494190631445,0.503707474872354,0.5387301587301587,0.46514005602240893,0.06602820054331604,0.08355166871048882,0.0436021654739671,0.4505753555896675,0.4561078297681851,0.4433381391685051,0.9452584911970596,0.9749467662471731,0.9142865407343406
dropout,8,7,s1_050,main_effect_dropout-0p3_lr0.001_wd0.0005_do0.3_ls0.1_mw90_ep8,0.5777777777777777,0.5812911038315983,0.5228896866154835,0.488235294117647,0.5527777777777777,0.5777777777777777,0.525,0.5543341134667383,0.5812911038315983,0.5220599344469312,0.4898051690562739,0.5150700280112044,0.4715036075036075,0.05507798547973984,0.08324326408238189,0.04421235698634561,0.45790588814014516,0.4684233524303879,0.4486047850179825,0.9654918199480023,0.998566304841507,0.9396371735506376
label_smoothing,8,6,s1_056,main_effect_label_smoothing-0p03_lr0.001_wd0.0005_do0.2_ls0.03_mw90_ep8,0.5777777777777777,0.5885946221198703,0.5111957578532584,0.5106295149638802,0.562037037037037,0.5777777777777777,0.5435185185185185,0.566549816802987,0.5885946221198703,0.5450540431784207,0.49615742741775865,0.5250980392156863,0.44453781512605045,0.04011358206458465,0.053631816509535475,0.030814002393136523,0.46198532744628956,0.47356261644959086,0.4562669674343143,1.2215443175888814,2.706752112985867,0.4915971749757775
label_smoothing,5,6,s1_020,main_effect_label_smoothing-0p05_lr0.001_wd0.0005_do0.2_ls0.05_mw90_ep5,0.5777777777777777,0.5860872750607993,0.4444402019193482,0.5498872180451129,0.5515432098765433,0.5777777777777777,0.5287037037037037,0.5590271246938089,0.5860872750607993,0.5315658416691723,0.4939510541058529,0.5498872180451129,0.45171261487050957,0.059483748950147304,0.1074034162732289,0.029716308399780036,0.45054766512006683,0.4635497957469671,0.44215011208029714,1.2137611379614957,2.738921925806262,0.48844398505237174
label_smoothing,12,6,s1_132,main_effect_label_smoothing-0p15_lr0.001_wd0.0005_do0.2_ls0.15_mw90_ep12,0.5648148148148148,0.5653836006137347,0.5155400706599982,0.5222566219470244,0.5407407407407407,0.5648148148148148,0.5046296296296295,0.5374972271002595,0.5653836006137347,0.4968976043113974,0.47550039993060594,0.5222566219470244,0.43875598086124407,0.05054926154779587,0.062336892792453434,0.0396097215485323,0.4670145305597841,0.4854901083078521,0.4588008646755588,1.3792143108730022,3.554662327261918,0.49581123838564717
baseline,5,1,s1_001,main_effect_baseline-base_lr0.001_wd0.0005_do0.2_ls0.1_mw90_ep5,0.5601851851851851,0.5671794484811873,0.5043128770637659,0.46978696741854636,0.5601851851851851,0.5601851851851851,0.5601851851851851,0.5671794484811873,0.5671794484811873,0.5671794484811873,0.46978696741854636,0.46978696741854636,0.46978696741854636,0.045005143738943446,0.045005143738943446,0.045005143738943446,0.4444620371727429,0.4444620371727429,0.4444620371727429,0.9463345431894297,0.9463345431894297,0.9463345431894297
weight_decay,8,9,s1_044,main_effect_weight_decay-0p002_lr0.001_wd0.002_do0.2_ls0.1_mw90_ep8,0.5555555555555556,0.5605377436935032,0.5135160499990574,0.44758593315868855,0.5400205761316872,0.5555555555555556,0.5222222222222224,0.5438208093574802,0.5605377436935032,0.529593191122603,0.45516012462864885,0.48026315789473684,0.42253098810374345,0.03887615143521666,0.05559412241584475,0.028800612990732936,0.4717268561098727,0.4819432504434003,0.4634598182536383,0.9908496113043691,1.0230622200901869,0.9626944133511554
baseline,8,1,s1_038,main_effect_baseline-base_lr0.001_wd0.0005_do0.2_ls0.1_mw90_ep8,0.55,0.5533866771036421,0.5003246415758488,0.44071428571428567,0.55,0.55,0.55,0.5533866771036421,0.5533866771036421,0.5533866771036421,0.44071428571428567,0.44071428571428567,0.44071428571428567,0.040013500808022046,0.040013500808022046,0.040013500808022046,0.4763457950452302,0.4763457950452302,0.4763457950452302,0.9859341453167427,0.9859341453167427,0.9859341453167427
