case_id,repeat,balanced_accuracy,macro_f1,macro_roc_auc_ovr,macro_pr_auc_ovr,worst_class_recall,worst_class_f1,n_predictions,class_order,balance_line,declared_source_line,view_role,quality_weighting,quality_weight_source,metric_source,expected_calibration_error
b32_lr1e-4,2,0.611111111111111,0.5222222222222221,0.8472222222222223,0.8629629629629628,0.3333333333333333,0.4,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.4384523188956614
b32_lr1e-4,3,0.5555555555555555,0.5238095238095238,0.6898148148148149,0.6777777777777777,0.0,0.0,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.37542539894347965
b32_lr1e-4,4,0.6666666666666666,0.6555555555555556,0.7916666666666666,0.7611111111111111,0.5,0.5,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.10539561432094052
b32_lr1e-4,0,0.3333333333333333,0.19047619047619047,0.5833333333333334,0.5666666666666665,0.0,0.0,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.5722253014558492
b32_lr1e-4,1,0.4444444444444444,0.3333333333333333,0.7999999999999999,0.8055555555555555,0.0,0.0,7,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.46321312843305684
b32_lr1e-4,2,0.611111111111111,0.5222222222222221,0.8222222222222223,0.7777777777777777,0.3333333333333333,0.4,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.37041424846939375
b32_lr1e-4,3,0.5555555555555555,0.5238095238095238,0.8425925925925926,0.8166666666666668,0.0,0.0,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.3501283862174694
b32_lr1e-4,4,0.6666666666666666,0.6555555555555556,0.8333333333333334,0.8444444444444444,0.5,0.5,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.31718749167154964
b32_lr3e-4,0,0.3333333333333333,0.16666666666666666,0.625,0.6388888888888888,0.0,0.0,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.5583522339456577
b32_lr3e-4,1,0.5,0.4166666666666667,0.6722222222222222,0.742063492063492,0.0,0.0,7,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.1675393492867932
b32_lr3e-4,2,0.611111111111111,0.5222222222222221,0.8518518518518517,0.9,0.3333333333333333,0.4,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.483300827494452
b32_lr3e-4,3,0.6666666666666666,0.5833333333333334,0.6111111111111112,0.6314814814814814,0.0,0.0,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.4557054617792491
b32_lr3e-4,4,0.8333333333333334,0.8222222222222223,0.9166666666666666,0.9166666666666666,0.5,0.6666666666666666,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.14585157956859907
b32_lr3e-4,0,0.3333333333333333,0.16666666666666666,0.5,0.5277777777777778,0.0,0.0,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.6085390697086432
b32_lr3e-4,1,0.5,0.41904761904761906,0.7388888888888889,0.7698412698412698,0.0,0.0,7,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.1843139448149226
b32_lr3e-4,2,0.611111111111111,0.5222222222222221,0.7481481481481481,0.7222222222222223,0.3333333333333333,0.4,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.45441942759755305
b32_lr3e-4,3,0.6666666666666666,0.5833333333333334,0.6898148148148149,0.6777777777777777,0.0,0.0,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.3865573496580962
b32_lr3e-4,4,0.8333333333333334,0.8222222222222223,0.8333333333333334,0.8444444444444444,0.5,0.6666666666666666,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.23259152803468805
