source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_002,1,42,0.513888888888889,0.5297619047619048,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,1e-05,inception_time,1e-05,s1_040,3,20042,0.5416666666666666,0.5416666666666666,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,1e-05,inception_time,1e-05,s1_040,4,30042,0.5277777777777778,0.5189255189255189,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,1e-05,inception_time,1e-05,s1_040,5,40042,0.5879629629629629,0.6002005012531328,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,5e-05,inception_time,5e-05,s1_041,1,42,0.5277777777777778,0.5381598793363499,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,5e-05,inception_time,5e-05,s1_041,2,10042,0.5092592592592592,0.5201784417470692,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,5e-05,inception_time,5e-05,s1_041,3,20042,0.513888888888889,0.5117750804025314,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,5e-05,inception_time,5e-05,s1_041,4,30042,0.5277777777777778,0.5155555555555555,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,5e-05,inception_time,5e-05,s1_041,5,40042,0.5972222222222222,0.5961352657004831,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.0001,inception_time,0.0001,s1_042,1,42,0.5185185185185185,0.504524886877828,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.0001,inception_time,0.0001,s1_042,2,10042,0.5509259259259259,0.5589506172839506,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.0001,inception_time,0.0001,s1_042,3,20042,0.5879629629629629,0.5910784313725491,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.0001,inception_time,0.0001,s1_042,4,30042,0.5370370370370371,0.5310457516339869,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.0001,inception_time,0.0001,s1_042,5,40042,0.5787037037037037,0.5924888473908082,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.001,inception_time,0.001,s1_043,1,42,0.5231481481481481,0.5329311211664153,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.001,inception_time,0.001,s1_043,2,10042,0.5370370370370371,0.5521620142309798,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.001,inception_time,0.001,s1_043,3,20042,0.4861111111111111,0.4818884818884819,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.001,inception_time,0.001,s1_043,4,30042,0.5277777777777778,0.522473604826546,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.001,inception_time,0.001,s1_043,5,40042,0.5879629629629629,0.5940740740740741,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.002,inception_time,0.002,s1_044,1,42,0.5462962962962963,0.536472148541114,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.002,inception_time,0.002,s1_044,2,10042,0.5370370370370371,0.5521620142309798,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.002,inception_time,0.002,s1_044,3,20042,0.5416666666666666,0.546031746031746,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.002,inception_time,0.002,s1_044,4,30042,0.5370370370370371,0.5310457516339869,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.002,inception_time,0.002,s1_044,5,40042,0.6157407407407408,0.6369770580296895,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.005,inception_time,0.005,s1_045,1,42,0.5092592592592592,0.4957264957264957,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.005,inception_time,0.005,s1_045,2,10042,0.4814814814814814,0.4884866767219709,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.005,inception_time,0.005,s1_045,3,20042,0.5694444444444444,0.580952380952381,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.005,inception_time,0.005,s1_045,4,30042,0.5648148148148148,0.5599999999999999,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.005,inception_time,0.005,s1_045,5,40042,0.5601851851851852,0.5576849733028223,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.01,inception_time,0.01,s1_046,1,42,0.5231481481481481,0.5329311211664153,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.01,inception_time,0.01,s1_046,2,10042,0.5,0.5162393162393163,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.01,inception_time,0.01,s1_046,3,20042,0.6064814814814815,0.6142857142857143,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.01,inception_time,0.01,s1_046,4,30042,0.4583333333333333,0.459313725490196,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
