source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_061,2,10042,0.5324074074074074,0.5265151515151515,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_061,3,20042,0.5879629629629629,0.6027676027676029,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_061,4,30042,0.5694444444444444,0.571975916803503,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_061,5,40042,0.625,0.6352882205513785,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.7,inception_time,0.7,s1_062,1,42,0.5601851851851852,0.5674074074074075,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.7,inception_time,0.7,s1_062,2,10042,0.5324074074074074,0.5261911527896183,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.7,inception_time,0.7,s1_062,3,20042,0.5787037037037037,0.5836419753086419,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.7,inception_time,0.7,s1_062,4,30042,0.5925925925925926,0.611111111111111,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.7,inception_time,0.7,s1_062,5,40042,0.6481481481481481,0.622853926259499,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.5,inception_time,0.5,s1_063,1,42,0.5740740740740741,0.5856950067476383,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.5,inception_time,0.5,s1_063,2,10042,0.5046296296296297,0.4888473908081751,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.5,inception_time,0.5,s1_063,3,20042,0.5231481481481481,0.5304259634888439,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.5,inception_time,0.5,s1_063,4,30042,0.5092592592592592,0.5125925925925926,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.5,inception_time,0.5,s1_063,5,40042,0.6018518518518519,0.5993516399694889,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.3,inception_time,0.3,s1_064,1,42,0.5879629629629629,0.5921052631578947,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.3,inception_time,0.3,s1_064,2,10042,0.5833333333333334,0.5921855921855922,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.3,inception_time,0.3,s1_064,3,20042,0.5925925925925926,0.5866666666666666,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.3,inception_time,0.3,s1_064,4,30042,0.6018518518518519,0.6216931216931217,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.3,inception_time,0.3,s1_064,5,40042,0.5648148148148148,0.5081699346405228,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.2,inception_time,0.2,s1_065,1,42,0.4861111111111111,0.500366568914956,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.2,inception_time,0.2,s1_065,2,10042,0.4351851851851852,0.422553710479407,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.2,inception_time,0.2,s1_065,3,20042,0.5231481481481481,0.522962962962963,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.2,inception_time,0.2,s1_065,4,30042,0.5509259259259259,0.5585721468074408,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.2,inception_time,0.2,s1_065,5,40042,0.4675925925925925,0.4888357256778309,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_098,1,42,0.5231481481481481,0.5227450980392158,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_098,2,10042,0.6018518518518519,0.6154923507864685,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
