source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_016,5,40042,0.4398148148148148,0.4207741576162629,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_017,1,42,0.5833333333333334,0.5921855921855922,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_017,2,10042,0.5509259259259259,0.5585721468074408,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_017,3,20042,0.5324074074074074,0.5423280423280423,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_017,4,30042,0.5092592592592592,0.5261158594491927,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_017,5,40042,0.4675925925925925,0.4545454545454546,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0,inception_time,0,s1_048,1,42,0.6203703703703703,0.6217948717948718,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0,inception_time,0,s1_048,2,10042,0.4814814814814814,0.4924704924704925,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0,inception_time,0,s1_048,3,20042,0.5416666666666666,0.5489874110563765,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0,inception_time,0,s1_048,4,30042,0.611111111111111,0.597335584951684,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0,inception_time,0,s1_048,5,40042,0.5694444444444444,0.5734989648033126,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.1,inception_time,0.1,s1_049,1,42,0.5925925925925926,0.6014814814814815,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.1,inception_time,0.1,s1_049,2,10042,0.5092592592592592,0.5201784417470692,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.1,inception_time,0.1,s1_049,3,20042,0.4814814814814814,0.4954870837223779,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.1,inception_time,0.1,s1_049,4,30042,0.5555555555555556,0.5509907666770412,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.1,inception_time,0.1,s1_049,5,40042,0.5694444444444444,0.5642135642135643,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_050,1,42,0.6203703703703703,0.6308641975308642,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_050,2,10042,0.513888888888889,0.5222222222222223,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_050,3,20042,0.5509259259259259,0.5585721468074408,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_050,4,30042,0.6064814814814815,0.5900350478355594,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_050,5,40042,0.5972222222222222,0.6047619047619048,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_051,1,42,0.5648148148148148,0.5588235294117647,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_051,2,10042,0.5092592592592592,0.5141277023629964,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_051,3,20042,0.5092592592592592,0.5172839506172839,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_051,4,30042,0.5231481481481481,0.5329311211664153,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_051,5,40042,0.6157407407407408,0.6391263057929725,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.5,inception_time,0.5,s1_052,1,42,0.6064814814814815,0.6195949644225506,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.5,inception_time,0.5,s1_052,2,10042,0.5092592592592592,0.5201784417470692,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.5,inception_time,0.5,s1_052,3,20042,0.5925925925925926,0.5827485380116959,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.5,inception_time,0.5,s1_052,4,30042,0.5,0.4827485380116958,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.5,inception_time,0.5,s1_052,5,40042,0.5972222222222222,0.5901515151515152,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_053,1,42,0.5370370370370371,0.5352784134248665,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_053,2,10042,0.5092592592592592,0.5141277023629964,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_053,3,20042,0.513888888888889,0.5200617283950617,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_053,4,30042,0.6527777777777778,0.6285157337788916,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_053,5,40042,0.5601851851851852,0.5628019323671497,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_054,1,42,0.6018518518518519,0.5925508959564687,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_054,2,10042,0.5787037037037037,0.5864197530864197,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_054,3,20042,0.513888888888889,0.5117750804025314,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_054,4,30042,0.3888888888888888,0.3885294117647058,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_054,5,40042,0.5416666666666666,0.531024531024531,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0,inception_time,0,s1_085,1,42,0.5925925925925926,0.6030165912518853,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0,inception_time,0,s1_085,2,10042,0.5972222222222222,0.5961352657004831,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0,inception_time,0,s1_085,3,20042,0.5370370370370371,0.5238095238095238,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0,inception_time,0,s1_085,4,30042,0.7083333333333334,0.7050915331807781,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0,inception_time,0,s1_085,5,40042,0.6805555555555555,0.7008547008547009,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.1,inception_time,0.1,s1_086,1,42,0.5185185185185185,0.5222222222222223,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.1,inception_time,0.1,s1_086,2,10042,0.6527777777777778,0.6619548872180451,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.1,inception_time,0.1,s1_086,3,20042,0.5046296296296297,0.5185185185185185,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.1,inception_time,0.1,s1_086,4,30042,0.6018518518518519,0.6072463768115942,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.1,inception_time,0.1,s1_086,5,40042,0.6157407407407408,0.6391263057929725,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_087,1,42,0.5648148148148148,0.5668627450980392,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_087,2,10042,0.4537037037037037,0.4526143790849673,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_087,3,20042,0.5138888888888888,0.5182186234817814,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_087,4,30042,0.6296296296296297,0.6365497076023392,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_087,5,40042,0.5462962962962963,0.5705003248862898,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_088,1,42,0.6481481481481481,0.6587301587301587,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_088,2,10042,0.5324074074074074,0.5265151515151515,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_088,3,20042,0.4629629629629629,0.4682539682539682,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
