rank,config_or_model,model,subject_BA_mean_sd_percent,subject_BA_repeat_t_CI95_percent,subject_macro_F1_mean_sd_percent,subject_macro_F1_repeat_t_CI95_percent,subject_macro_ROC_AUC,ROC_AUC_applicability,scientific_role
43,s1_103,inception_time,58.5 ± 6.7,"[50.3, 66.8]",58.9 ± 7.5,"[49.6, 68.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
44,s1_084,inception_time,58.2 ± 3.2,"[54.3, 62.2]",59.3 ± 3.3,"[55.2, 63.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
45,s1_106,inception_time,58.2 ± 5.4,"[51.5, 64.9]",58.7 ± 5.7,"[51.6, 65.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
46,s1_111,inception_time,58.2 ± 5.9,"[50.9, 65.6]",58.4 ± 5.5,"[51.5, 65.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
47,s1_156,inception_time,58.2 ± 7.2,"[49.3, 67.2]",58.3 ± 7.0,"[49.6, 67.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
48,s1_062,inception_time,58.2 ± 4.3,"[52.9, 63.6]",58.2 ± 3.8,"[53.5, 63.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
49,s1_117,inception_time,58.2 ± 7.0,"[49.5, 67.0]",57.9 ± 7.1,"[49.1, 66.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
50,s1_151,inception_time,58.2 ± 4.3,"[53.0, 63.5]",57.8 ± 4.0,"[52.7, 62.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
51,s1_011,inception_time,58.2 ± 7.1,"[49.4, 67.1]",58.9 ± 7.4,"[49.7, 68.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
52,s1_180,inception_time,58.2 ± 4.3,"[52.9, 63.6]",58.3 ± 4.0,"[53.4, 63.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
53,s1_139,inception_time,58.1 ± 6.6,"[50.0, 66.3]",59.1 ± 6.6,"[50.9, 67.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
54,s1_172,inception_time,58.1 ± 4.1,"[53.1, 63.2]",59.3 ± 3.9,"[54.4, 64.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
55,s1_076,inception_time,58.1 ± 6.4,"[50.2, 65.9]",58.6 ± 6.5,"[50.6, 66.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
56,s1_144,inception_time,58.1 ± 6.6,"[49.9, 66.2]",58.1 ± 7.2,"[49.2, 67.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
57,s1_162,inception_time,58.1 ± 6.7,"[49.7, 66.4]",58.1 ± 6.7,"[49.9, 66.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
58,s1_127,inception_time,58.0 ± 3.8,"[53.3, 62.6]",57.8 ± 3.9,"[53.0, 62.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
59,s1_150,inception_time,58.0 ± 6.6,"[49.8, 66.1]",58.6 ± 7.0,"[49.8, 67.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
60,s1_104,inception_time,58.0 ± 6.5,"[49.9, 66.0]",57.8 ± 8.6,"[47.2, 68.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
61,s1_086,inception_time,57.9 ± 6.4,"[49.9, 65.8]",59.0 ± 6.6,"[50.7, 67.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
62,s1_080,inception_time,57.9 ± 2.4,"[54.9, 60.8]",58.6 ± 1.3,"[57.0, 60.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
63,s1_121,inception_time,57.9 ± 6.2,"[50.2, 65.5]",58.0 ± 6.2,"[50.3, 65.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
64,s1_120,inception_time,57.9 ± 5.4,"[51.2, 64.6]",57.9 ± 5.2,"[51.4, 64.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
65,s1_031,inception_time,57.8 ± 6.6,"[49.5, 66.0]",58.6 ± 6.9,"[50.1, 67.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
66,s1_033,inception_time,57.8 ± 3.0,"[54.0, 61.6]",57.8 ± 3.2,"[53.8, 61.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
67,s1_056,inception_time,57.8 ± 5.4,"[51.1, 64.4]",58.9 ± 5.9,"[51.5, 66.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
68,s1_020,inception_time,57.8 ± 10.7,"[44.4, 71.1]",58.6 ± 10.5,"[45.5, 71.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
69,s1_050,inception_time,57.8 ± 4.4,"[52.3, 63.3]",58.1 ± 4.2,"[52.9, 63.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
70,s1_154,inception_time,57.8 ± 6.8,"[49.3, 66.2]",57.8 ± 7.0,"[49.1, 66.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
71,s1_072,inception_time,57.7 ± 7.6,"[48.3, 67.1]",57.3 ± 8.3,"[47.0, 67.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
72,s1_081,inception_time,57.6 ± 1.5,"[55.7, 59.4]",58.2 ± 2.3,"[55.4, 61.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
73,s1_118,inception_time,57.5 ± 11.0,"[43.8, 71.2]",57.4 ± 9.8,"[45.3, 69.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
74,s1_058,inception_time,57.4 ± 3.8,"[52.7, 62.1]",58.0 ± 3.5,"[53.7, 62.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
75,s1_109,inception_time,57.4 ± 5.5,"[50.6, 64.2]",57.3 ± 5.3,"[50.7, 63.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
