denoiser,activity,channel,metric,mean_sd,participant_bootstrap_ci95,holm_p_vs_reference
spectral_mask*,static,RED,IBI-PPI RMSE,31.5 ± 30.8,"[20.0, 45.3]",0.0005
ssa_decomposition,static,RED,IBI-PPI RMSE,33.9 ± 34.1,"[21.1, 49.1]",0.0143
pca_bss,static,RED,IBI-PPI RMSE,34.4 ± 26.9,"[24.2, 46.3]",0.4628
fastica_bss,static,RED,IBI-PPI RMSE,34.8 ± 20.5,"[26.7, 43.5]",0.5337
identity,static,RED,IBI-PPI RMSE,40.0 ± 37.0,"[26.1, 56.7]",Reference
nmf_bss,static,RED,IBI-PPI RMSE,58.8 ± 30.4,"[47.3, 72.0]",0.0014
nlms_imu_anc,static,RED,IBI-PPI RMSE,121.6 ± 19.9,"[113.5, 129.7]",6.00e-05
pca_bss*,dynamic,RED,IBI-PPI RMSE,71.4 ± 43.4,"[53.9, 89.4]",1.00e-04
fastica_bss,dynamic,RED,IBI-PPI RMSE,71.7 ± 39.9,"[55.5, 88.0]",0.0530
spectral_mask,dynamic,RED,IBI-PPI RMSE,76.8 ± 43.9,"[59.3, 95.2]",0.0028
ssa_decomposition,dynamic,RED,IBI-PPI RMSE,79.5 ± 47.6,"[60.6, 99.5]",0.0530
identity,dynamic,RED,IBI-PPI RMSE,83.9 ± 46.0,"[65.3, 102.9]",Reference
nmf_bss,dynamic,RED,IBI-PPI RMSE,87.8 ± 38.7,"[72.2, 103.4]",0.2525
nlms_imu_anc,dynamic,RED,IBI-PPI RMSE,147.5 ± 18.3,"[139.8, 154.8]",6.00e-05
