source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_007,5,40042,0.5,0.4841269841269841,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_008,1,42,0.5601851851851852,0.5588235294117648,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_008,2,10042,0.4583333333333333,0.445021645021645,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_008,3,20042,0.5370370370370371,0.5140096618357487,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_008,4,30042,0.5879629629629629,0.5910784313725491,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_008,5,40042,0.5972222222222222,0.5865546218487395,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_009,1,42,0.5462962962962963,0.5585721468074408,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_009,2,10042,0.5231481481481481,0.507070707070707,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_009,3,20042,0.3611111111111111,0.3603821015585721,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_009,4,30042,0.5972222222222222,0.5922136970730322,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_009,5,40042,0.5972222222222222,0.5901515151515152,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_010,1,42,0.6620370370370371,0.6565656565656566,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_010,2,10042,0.5185185185185185,0.5259147869674184,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_010,3,20042,0.4583333333333333,0.4424603174603174,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_010,4,30042,0.5370370370370371,0.5121212121212121,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_010,5,40042,0.5648148148148148,0.5486291486291486,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_011,1,42,0.4675925925925925,0.4761904761904762,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_011,2,10042,0.4861111111111111,0.4753246753246753,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_011,3,20042,0.5138888888888888,0.5094393592677345,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_011,4,30042,0.5555555555555555,0.55007215007215,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,all_archived_config_repeats,weighted_ce,inception_time,weighted_ce,s1_011,5,40042,0.5416666666666666,0.5198879551820729,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
