source_study,comparison_family,comparison_id,comparison_role,factor,epoch,reference_case_id,candidate_case_id,repeat,split_seed,comparison_contract_status,difference_direction,reference_balanced_accuracy,candidate_balanced_accuracy,balanced_accuracy_delta,reference_macro_f1,candidate_macro_f1,macro_f1_delta,reference_macro_roc_auc_ovr,candidate_macro_roc_auc_ovr,macro_roc_auc_ovr_delta,macro_roc_auc_ovr_applicability,macro_roc_auc_ovr_unavailability_reason,automatic_selection
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=label_smoothing:epoch=9:s1_013_vs_s1_001:signal=5,exploratory_post_hoc_factor_signal_not_ablation,label_smoothing,9,s1_001,s1_013,1,42,matched_aggregate_repeat_seed,candidate_minus_reference,0.5416666666666666,0.6018518518518519,0.06018518518518523,0.5400501253132832,0.6083333333333333,0.06828320802005006,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=label_smoothing:epoch=9:s1_013_vs_s1_001:signal=5,exploratory_post_hoc_factor_signal_not_ablation,label_smoothing,9,s1_001,s1_013,2,10042,matched_aggregate_repeat_seed,candidate_minus_reference,0.4259259259259259,0.4305555555555555,0.00462962962962965,0.4229595728451563,0.4081232492997199,-0.014836323545436403,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=label_smoothing:epoch=9:s1_013_vs_s1_001:signal=5,exploratory_post_hoc_factor_signal_not_ablation,label_smoothing,9,s1_001,s1_013,3,20042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5,0.6064814814814815,0.10648148148148151,0.4814814814814814,0.5828460038986355,0.1013645224171541,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=label_smoothing:epoch=9:s1_013_vs_s1_001:signal=5,exploratory_post_hoc_factor_signal_not_ablation,label_smoothing,9,s1_001,s1_013,4,30042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5833333333333334,0.5694444444444444,-0.01388888888888895,0.584920634920635,0.5575396825396824,-0.027380952380952506,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=label_smoothing:epoch=9:s1_013_vs_s1_001:signal=5,exploratory_post_hoc_factor_signal_not_ablation,label_smoothing,9,s1_001,s1_013,5,40042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5972222222222222,0.5416666666666666,-0.05555555555555558,0.5945165945165946,0.5182474903837133,-0.07626910413288124,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=loss_type:epoch=9:s1_022_vs_s1_001:signal=6,exploratory_post_hoc_factor_signal_not_ablation,loss_type,9,s1_001,s1_022,1,42,matched_aggregate_repeat_seed,candidate_minus_reference,0.5416666666666666,0.6157407407407408,0.07407407407407418,0.5400501253132832,0.6157407407407408,0.07569061542745759,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=loss_type:epoch=9:s1_022_vs_s1_001:signal=6,exploratory_post_hoc_factor_signal_not_ablation,loss_type,9,s1_001,s1_022,2,10042,matched_aggregate_repeat_seed,candidate_minus_reference,0.4259259259259259,0.4629629629629629,0.037037037037037035,0.4229595728451563,0.4545454545454546,0.0315858817002983,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=loss_type:epoch=9:s1_022_vs_s1_001:signal=6,exploratory_post_hoc_factor_signal_not_ablation,loss_type,9,s1_001,s1_022,3,20042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5,0.5462962962962963,0.04629629629629628,0.4814814814814814,0.4976470588235294,0.016165577342047988,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=loss_type:epoch=9:s1_022_vs_s1_001:signal=6,exploratory_post_hoc_factor_signal_not_ablation,loss_type,9,s1_001,s1_022,4,30042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5833333333333334,0.625,0.04166666666666663,0.584920634920635,0.6271929824561403,0.04227234753550535,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=loss_type:epoch=9:s1_022_vs_s1_001:signal=6,exploratory_post_hoc_factor_signal_not_ablation,loss_type,9,s1_001,s1_022,5,40042,matched_aggregate_repeat_seed,candidate_minus_reference,0.5972222222222222,0.5416666666666666,-0.05555555555555558,0.5945165945165946,0.5198879551820729,-0.07462863933452168,,,,N/A_probability_level_participant_oof_not_archived,continuous participant-level OOF class probabilities were not archived,False
