source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_065,inception_time,s1_065,s1_065,5,40042,0.5833333333333334,0.5993650793650794,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_067,inception_time,s1_067,s1_067,1,42,0.5879629629629629,0.5454805491990847,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_067,inception_time,s1_067,s1_067,2,10042,0.5972222222222222,0.5865546218487395,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_067,inception_time,s1_067,s1_067,3,20042,0.5138888888888888,0.5072463768115941,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_067,inception_time,s1_067,s1_067,4,30042,0.5370370370370371,0.5099160945842868,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_067,inception_time,s1_067,s1_067,5,40042,0.625,0.6251207729468599,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_074,inception_time,s1_074,s1_074,1,42,0.6620370370370371,0.6658730158730158,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_074,inception_time,s1_074,s1_074,2,10042,0.4861111111111111,0.4796885261281546,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_074,inception_time,s1_074,s1_074,3,20042,0.5138888888888888,0.510989010989011,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_074,inception_time,s1_074,s1_074,4,30042,0.5509259259259259,0.5100880932082977,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_074,inception_time,s1_074,s1_074,5,40042,0.625,0.6217581998474447,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_075,inception_time,s1_075,s1_075,1,42,0.5879629629629629,0.5961538461538461,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_075,inception_time,s1_075,s1_075,2,10042,0.6064814814814815,0.5849673202614379,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_075,inception_time,s1_075,s1_075,3,20042,0.5416666666666666,0.5373015873015873,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_075,inception_time,s1_075,s1_075,4,30042,0.5092592592592592,0.4722222222222222,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_075,inception_time,s1_075,s1_075,5,40042,0.6527777777777778,0.6527777777777778,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_079,inception_time,s1_079,s1_079,1,42,0.625,0.6251207729468599,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_079,inception_time,s1_079,s1_079,2,10042,0.5277777777777778,0.5189042124026644,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_079,inception_time,s1_079,s1_079,3,20042,0.4814814814814814,0.4584541062801932,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_079,inception_time,s1_079,s1_079,4,30042,0.6944444444444443,0.6985507246376811,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_079,inception_time,s1_079,s1_079,5,40042,0.5046296296296297,0.4881419234360411,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_090,inception_time,s1_090,s1_090,1,42,0.6064814814814815,0.5881419234360411,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_090,inception_time,s1_090,s1_090,2,10042,0.5370370370370371,0.5140096618357487,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_090,inception_time,s1_090,s1_090,3,20042,0.5370370370370371,0.5121212121212121,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_090,inception_time,s1_090,s1_090,4,30042,0.6342592592592592,0.621031746031746,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_090,inception_time,s1_090,s1_090,5,40042,0.5324074074074073,0.4993252361673415,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_099,inception_time,s1_099,s1_099,1,42,0.6064814814814815,0.5892857142857143,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_099,inception_time,s1_099,s1_099,2,10042,0.5138888888888888,0.5095238095238096,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_099,inception_time,s1_099,s1_099,3,20042,0.5231481481481481,0.5100069013112492,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_099,inception_time,s1_099,s1_099,4,30042,0.6481481481481481,0.6287878787878788,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
