case_id,repeat,balanced_accuracy,macro_f1,macro_roc_auc_ovr,macro_pr_auc_ovr,worst_class_recall,worst_class_f1,n_predictions,class_order,aggregation_view,declared_source_line,evidence_role,quality_weighting,quality_weight_source,expected_calibration_error,metric_source
b32_lr3e-4,4,0.5416666666666666,0.5553366174055829,0.7684562713974478,0.6885528469391774,0.3333333333333333,0.4,29,"[0, 1, 2]",window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.2110860149418383,same_fitted_oof_report_reaggregation
b32_lr3e-4,0,0.5740740740740741,0.556390977443609,0.7224245253657019,0.6291595959775028,0.4166666666666667,0.47619047619047616,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.2373618020522632,same_fitted_oof_report_reaggregation
b32_lr3e-4,1,0.5833333333333334,0.5917948717948719,0.6831388110799876,0.5859966379191526,0.5,0.56,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.2466819873863902,same_fitted_oof_report_reaggregation
b32_lr3e-4,2,0.5231481481481481,0.5100069013112492,0.7426626206037971,0.688058577225244,0.375,0.42857142857142855,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.27647078580112505,same_fitted_oof_report_reaggregation
b32_lr3e-4,3,0.5694444444444444,0.571975916803503,0.729614067849362,0.6260373330914266,0.3333333333333333,0.42857142857142855,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.1678695854379565,same_fitted_oof_report_reaggregation
b32_lr3e-4,4,0.5416666666666666,0.5553366174055829,0.7684562713974478,0.6885528469391774,0.3333333333333333,0.4,29,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,0.21179387561381377,same_fitted_oof_report_reaggregation
b32_lr3e-4,0,0.5185185185185185,0.4807017543859649,0.7090880796763149,0.598526502331124,0.25,0.3157894736842105,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,0.2541588465026518,same_fitted_oof_report_reaggregation
b32_lr3e-4,1,0.5046296296296297,0.5128205128205128,0.6977980080921258,0.5932887104567625,0.375,0.5,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,0.19426395037841732,same_fitted_oof_report_reaggregation
b32_lr3e-4,2,0.5648148148148148,0.5476190476190476,0.7290227201991909,0.6666893629009998,0.4166666666666667,0.47619047619047616,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,0.24533628424592566,same_fitted_oof_report_reaggregation
b32_lr3e-4,3,0.5740740740740741,0.5594606542882405,0.7112044817927171,0.6267856970433724,0.2222222222222222,0.3076923076923077,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,0.24509714875655592,same_fitted_oof_report_reaggregation
b32_lr3e-4,4,0.5509259259259259,0.5677974893661167,0.7664721444133208,0.6671477327441379,0.4444444444444444,0.47058823529411764,29,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,0.1954916019765544,same_fitted_oof_report_reaggregation
