case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support,metric_source
b16_lr3e-4,3,2,Young,0.75,0.75,0.9047619047619048,0.8273809523809523,0.75,0.9047619047619047,0.8713235294117647,8,participant_oof_per_repeat
b16_lr3e-4,4,0,Pre-Frail,0.5833333333333334,0.7777777777777778,0.75,0.7638888888888888,0.6666666666666666,0.7944444444444444,0.661002886002886,9,participant_oof_per_repeat
b16_lr3e-4,4,1,Robust/Non-Frail,0.5833333333333334,0.5833333333333334,0.7058823529411765,0.6446078431372549,0.5833333333333334,0.6323529411764706,0.5609748840247561,12,participant_oof_per_repeat
b16_lr3e-4,4,2,Young,1.0,0.625,1.0,0.8125,0.7692307692307693,0.8869047619047619,0.8311965811965811,8,participant_oof_per_repeat
b16_lr1e-3,0,0,Pre-Frail,0.5454545454545454,0.6666666666666666,0.75,0.7083333333333333,0.6,0.7833333333333333,0.6745791245791246,9,participant_oof_per_repeat
b16_lr1e-3,0,1,Robust/Non-Frail,0.5,0.4166666666666667,0.7058823529411765,0.5612745098039216,0.45454545454545453,0.642156862745098,0.5800110178828715,12,participant_oof_per_repeat
b16_lr1e-3,0,2,Young,0.625,0.625,0.8571428571428571,0.7410714285714286,0.625,0.8214285714285714,0.7881306672866775,8,participant_oof_per_repeat
b16_lr1e-3,1,0,Pre-Frail,0.5,0.7777777777777778,0.65,0.7138888888888889,0.6086956521739131,0.8,0.6578976034858388,9,participant_oof_per_repeat
b16_lr1e-3,1,1,Robust/Non-Frail,0.45454545454545453,0.4166666666666667,0.6470588235294118,0.5318627450980392,0.43478260869565216,0.6176470588235294,0.5955408017908018,12,participant_oof_per_repeat
b16_lr1e-3,1,2,Young,0.5,0.25,0.9047619047619048,0.5773809523809523,0.3333333333333333,0.7619047619047619,0.6467819435466495,8,participant_oof_per_repeat
