source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_080,inception_time,gen_080,gen_080,2,10042,0.5787037037037037,0.5695652173913044,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_080,inception_time,gen_080,gen_080,3,20042,0.5648148148148148,0.5641025641025641,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_080,inception_time,gen_080,gen_080,4,30042,0.6157407407407407,0.573931988254239,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_080,inception_time,gen_080,gen_080,5,40042,0.5277777777777778,0.5181818181818182,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_093,inception_time,gen_093,gen_093,1,42,0.6620370370370371,0.6145979923069707,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_093,inception_time,gen_093,gen_093,2,10042,0.5231481481481481,0.5253968253968254,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_093,inception_time,gen_093,gen_093,3,20042,0.611111111111111,0.6178266178266177,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_093,inception_time,gen_093,gen_093,4,30042,0.4675925925925925,0.3621052631578947,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_093,inception_time,gen_093,gen_093,5,40042,0.5694444444444444,0.5575396825396824,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_094,inception_time,gen_094,gen_094,1,42,0.6666666666666666,0.6650326797385621,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_094,inception_time,gen_094,gen_094,2,10042,0.5231481481481481,0.5028985507246376,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_094,inception_time,gen_094,gen_094,3,20042,0.4537037037037037,0.3851960784313726,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_094,inception_time,gen_094,gen_094,4,30042,0.5740740740740741,0.5916828269769446,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_094,inception_time,gen_094,gen_094,5,40042,0.5972222222222222,0.5865546218487395,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
