source_study,comparison_id,parameter_group,parameter,reference_value,candidate_value,repeat,split_seed,reference_config_count,candidate_config_count,reference_balanced_accuracy,candidate_balanced_accuracy,balanced_accuracy_delta,reference_macro_f1,candidate_macro_f1,macro_f1_delta,macro_roc_auc_ovr_delta,macro_roc_auc_ovr_applicability,comparison_role
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=16,4,30042,32,32,0.5730613425925926,0.4879918981481481,-0.08506944444444448,0.5685055143266013,0.4722864584700134,-0.09621905585658797,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=16,5,40042,32,32,0.5734953703703705,0.5188078703703703,-0.05468750000000011,0.561346664144764,0.513082629810613,-0.04826403433415094,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=32,1,42,32,32,0.5571469907407407,0.5203993055555556,-0.03674768518518512,0.5522027623278964,0.5147626779079799,-0.03744008441991653,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=32,2,10042,32,32,0.48263888888888884,0.45486111111111105,-0.02777777777777779,0.4682576922498668,0.4408290675870501,-0.027428624662816703,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=32,3,20042,32,32,0.48828125,0.4696180555555555,-0.018663194444444475,0.4776298303557538,0.4532208797369587,-0.02440895061879511,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=32,4,30042,32,32,0.5730613425925926,0.515625,-0.05743634259259256,0.5685055143266013,0.5126953343995762,-0.055810179927025194,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=32,5,40042,32,32,0.5734953703703705,0.5183738425925926,-0.0551215277777779,0.561346664144764,0.5131043162597924,-0.048242347884971615,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=50%,1,42,32,32,0.5571469907407407,0.5792824074074074,0.02213541666666674,0.5522027623278964,0.5660800764320333,0.01387731410413684,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=50%,2,10042,32,32,0.48263888888888884,0.482349537037037,-0.0002893518518518601,0.4682576922498668,0.46987655319789945,0.0016188609480326521,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=50%,3,20042,32,32,0.48828125,0.48582175925925924,-0.002459490740740755,0.4776298303557538,0.47540944577547334,-0.0022203845802804545,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
